model,alpha,corruption,rank,iter,lam,optimizer
VAE-CF,1,0.5,100,500,0.00001,RMSProp
AutoRec,1,0.5,100,500,0.00001,RMSProp
CDAE,1,0.5,100,500,0.00001,RMSProp
IFVAE,1,0.5,50,500,0.0001,RMSProp
