,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,NCML,100,1,1,,"[0.0628, 0.0016]","[0.0511, 0.0022]","[0.0497, 0.0019]","[0.0481, 0.0017]","[0.052, 0.0028]","[0.0434, 0.0013]","[0.0382, 0.0013]","[0.02, 0.0011]","[0.0288, 0.0014]","[0.0375, 0.0016]","[0.0099, 0.0007]","[0.0846, 0.0023]"
1,CML,100,1,1,,"[0.062, 0.0016]","[0.0502, 0.0022]","[0.0489, 0.0019]","[0.0481, 0.0018]","[0.0523, 0.0028]","[0.0437, 0.0014]","[0.0384, 0.0013]","[0.0191, 0.0011]","[0.0282, 0.0013]","[0.0365, 0.0015]","[0.0102, 0.0008]","[0.0831, 0.0023]"
