,model,rank,alpha,root,topK,R-Precision,RP-STD,NDCG,NDCG-STD,NDCG-STD@10,NDCG-STD@15,NDCG-STD@20,NDCG-STD@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,R-Precision@10,R-Precision@15,R-Precision@20,R-Precision@5,RP-STD@10,RP-STD@15,RP-STD@20,RP-STD@5
25,PmiWPLRec,100,1,1.3,,,,,,0.09780954836881738,0.10359789176520301,0.10882961030763975,0.08547484657637841,"(0.04407304172423944,)","(0.05448328781839978,)","(0.06357656636614586,)","(0.030539997835216246,)","(0.049069772584874334,)","(0.07001659583985896,)","(0.09006079627018072,)","(0.026527647034274557,)","(0.1242888312249384,)","(0.14712519370884608,)","(0.16693208752443486,)","(0.08891853351555222,)"
26,PmiWPLRec,100,10,0.7,,,,,,0.09974998484964492,0.10633887940133187,0.11098285106545526,0.08775370334927693,"(0.04310762679609772,)","(0.0539033303112344,)","(0.06196313113913101,)","(0.029020354064257625,)","(0.053229390844603645,)","(0.07655880385209242,)","(0.09540256444692348,)","(0.027857369471743908,)","(0.13670925355230848,)","(0.16387142609825625,)","(0.18414450891532402,)","(0.09673846340372066,)"
27,PmiWPLRec,100,10,0.8,,,,,,0.10085028484517364,0.1081945327389603,0.11263177877992388,0.08852107223465487,"(0.04429854494038701,)","(0.05498725766612313,)","(0.06317764463566458,)","(0.029811867950906228,)","(0.054542846702641624,)","(0.07756482910562042,)","(0.09666996396984899,)","(0.02869476509824952,)","(0.13708077796367021,)","(0.16524002755528683,)","(0.1854038730119225,)","(0.09684445893954251,)"
28,PmiWPLRec,100,10,0.9,,,,,,0.10245589543094936,0.10896297821937903,0.11433199472950456,0.09044671088954624,"(0.04494994597443138,)","(0.055399832820125484,)","(0.0648841366456915,)","(0.03084337944219329,)","(0.0542329115644323,)","(0.07675454518884126,)","(0.09950433178508031,)","(0.029251943644422334,)","(0.13628258020844222,)","(0.1640161809988908,)","(0.18837826774901048,)","(0.09713809075656665,)"
29,PmiWPLRec,100,10,1.0,,,,,,0.10325289313445893,0.10935841536777043,0.1147398125056304,0.0912028150387478,"(0.04592878491604199,)","(0.055965113568641,)","(0.0651076348742674,)","(0.031197504703413013,)","(0.055657662257625515,)","(0.07677974252025704,)","(0.09817869922509291,)","(0.02961162353992465,)","(0.13758131049866737,)","(0.16199084099029984,)","(0.18582145995948732,)","(0.09888474102066289,)"
30,PmiWPLRec,100,10,1.1,,,,,,0.09948142733727468,0.10582335013084719,0.11075200115567321,0.08748826411125031,"(0.043661939256739835,)","(0.05417843342038013,)","(0.06267582601245457,)","(0.030174162408287745,)","(0.05200253746329629,)","(0.07387052289101614,)","(0.09303886702602629,)","(0.028689028758883118,)","(0.13250130169058422,)","(0.15748127052012947,)","(0.1766886055250809,)","(0.09596589142489047,)"
31,PmiWPLRec,100,10,1.2,,,,,,0.0922191854178313,0.09827318592699999,0.103559048816885,0.0811034123862879,"(0.039423029819304525,)","(0.04929218107598679,)","(0.057591818144923645,)","(0.026847586173591943,)","(0.0460761092822338,)","(0.06631739341692842,)","(0.08530377582378651,)","(0.024996726071213848,)","(0.12153589798448738,)","(0.14526237121124003,)","(0.16656648181510464,)","(0.08801866604481573,)"
32,PmiWPLRec,100,10,1.3,,,,,,0.08730672096591537,0.09381188188491874,0.09893868987128297,0.07677682715004525,"(0.03551468002223056,)","(0.04506254740341012,)","(0.052875622017196776,)","(0.024497023510470634,)","(0.04013474838135795,)","(0.05926815056140863,)","(0.0769154333009566,)","(0.02185058287812799,)","(0.11063288365089043,)","(0.13606869133038382,)","(0.15722131341915985,)","(0.07944064056809115,)"
33,ALS,100,0,1.0,,,,,,0.09948391526196113,0.10581578831607243,0.10962273025031938,0.08753085756398665,"(0.04635744701483459,)","(0.057366774311856994,)","(0.06610943049517141,)","(0.0317072014091717,)","(0.054870671111607684,)","(0.07752327106309455,)","(0.09769065917570992,)","(0.029091530171239652,)","(0.13423920252052582,)","(0.1571375459359567,)","(0.1760518357187258,)","(0.09365335079996184,)"
34,ALS,100,1,1.0,,,,,,0.10044108392145648,0.10699413289260709,0.11063807534003807,0.08953771274229977,"(0.04631256826819474,)","(0.05770562728306089,)","(0.06647558329687296,)","(0.03194969142756455,)","(0.05470144603478464,)","(0.07889512269947305,)","(0.09893834165041901,)","(0.02971323288707992,)","(0.13327099334110468,)","(0.1610064275843239,)","(0.17903371387751515,)","(0.09662777637880128,)"
35,ALS,100,10,1.0,,,,,,0.09870150132827576,0.1048587999665802,0.10868504952277605,0.08762312667376314,"(0.043013848115392425,)","(0.0533687344356258,)","(0.06216028086633022,)","(0.02928352614626864,)","(0.05199826090490696,)","(0.07349989977663045,)","(0.09375729875523865,)","(0.027697882830257394,)","(0.13241409976197258,)","(0.1579369058776565,)","(0.17494469583193967,)","(0.09550253235482946,)"
