,index,Method,Time
0,5,PureSVD,64.4650459289551
1,0,PLRec,97.16944694519046
2,2,NCE-SVD,378.71694564819336
3,3,NCE-PLRec,463.9644980430604
4,9,AutoRec,2693.963599205017
5,6,CDAE,3445.8306431770325
6,8,VAE-CF,3661.2210512161264
7,1,BPR,14032.845759391785
8,4,CML,15209.464049339294
9,7,WRMF,31996.982896327965
