,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
15,PmiWPLRec,100,-0.1,1.2,,"[0.2124, 0.0008]","[0.1868, 0.0011]","[0.178, 0.001]","[0.1715, 0.0009]","[0.2006, 0.0013]","[0.1443, 0.0007]","[0.128, 0.0006]","[0.0752, 0.0006]","[0.1071, 0.0007]","[0.1373, 0.0008]","[0.0405, 0.0004]","[0.2736, 0.0012]"
16,PmiWPLRec,100,-0.05,0.8,,"[0.1847, 0.0007]","[0.1739, 0.0009]","[0.1637, 0.0008]","[0.1556, 0.0008]","[0.1887, 0.0012]","[0.1262, 0.0006]","[0.1176, 0.0005]","[0.0709, 0.0005]","[0.0981, 0.0006]","[0.122, 0.0007]","[0.039, 0.0004]","[0.2251, 0.0009]"
17,PmiWPLRec,100,-0.05,0.9,,"[0.1966, 0.0007]","[0.1824, 0.001]","[0.1723, 0.0009]","[0.1641, 0.0008]","[0.1969, 0.0012]","[0.1318, 0.0006]","[0.1252, 0.0006]","[0.0771, 0.0006]","[0.1075, 0.0007]","[0.1337, 0.0008]","[0.0422, 0.0004]","[0.2417, 0.001]"
18,PmiWPLRec,100,-0.05,1,,"[0.2081, 0.0008]","[0.1888, 0.001]","[0.1795, 0.0009]","[0.1716, 0.0008]","[0.2017, 0.0012]","[0.1383, 0.0006]","[0.1307, 0.0006]","[0.0806, 0.0006]","[0.1139, 0.0007]","[0.1432, 0.0008]","[0.0431, 0.0004]","[0.2605, 0.0011]"
19,PmiWPLRec,100,-0.05,1.1,,"[0.2147, 0.0008]","[0.1889, 0.001]","[0.1806, 0.0009]","[0.1744, 0.0008]","[0.2013, 0.0013]","[0.144, 0.0006]","[0.1309, 0.0006]","[0.0782, 0.0006]","[0.1122, 0.0007]","[0.1441, 0.0009]","[0.0415, 0.0004]","[0.2752, 0.0012]"
20,PmiWPLRec,100,-0.05,1.2,,"[0.2121, 0.0008]","[0.1862, 0.0011]","[0.1775, 0.001]","[0.1711, 0.0009]","[0.1998, 0.0013]","[0.1442, 0.0007]","[0.1277, 0.0006]","[0.075, 0.0006]","[0.1068, 0.0007]","[0.1371, 0.0008]","[0.0403, 0.0004]","[0.2735, 0.0012]"
21,PmiWPLRec,100,0.1,0.8,,"[0.1844, 0.0007]","[0.173, 0.0009]","[0.1629, 0.0008]","[0.1551, 0.0008]","[0.1873, 0.0012]","[0.1259, 0.0006]","[0.1172, 0.0005]","[0.0708, 0.0005]","[0.0981, 0.0006]","[0.1221, 0.0007]","[0.0388, 0.0004]","[0.2254, 0.0009]"
22,PmiWPLRec,100,0.1,0.9,,"[0.1964, 0.0007]","[0.1812, 0.001]","[0.1713, 0.0008]","[0.1634, 0.0008]","[0.1951, 0.0012]","[0.1316, 0.0006]","[0.1248, 0.0006]","[0.0769, 0.0006]","[0.1074, 0.0007]","[0.1337, 0.0008]","[0.0419, 0.0004]","[0.2424, 0.001]"
23,PmiWPLRec,100,0.1,1,,"[0.2079, 0.0008]","[0.1876, 0.001]","[0.1783, 0.0009]","[0.1708, 0.0008]","[0.1999, 0.0012]","[0.1381, 0.0006]","[0.1301, 0.0006]","[0.0802, 0.0006]","[0.1135, 0.0007]","[0.1431, 0.0008]","[0.0429, 0.0004]","[0.2611, 0.0011]"
24,PmiWPLRec,100,0.1,1.1,,"[0.2143, 0.0008]","[0.1875, 0.001]","[0.1794, 0.0009]","[0.1733, 0.0008]","[0.1997, 0.0013]","[0.1436, 0.0006]","[0.1302, 0.0006]","[0.0778, 0.0006]","[0.1117, 0.0007]","[0.1436, 0.0009]","[0.0413, 0.0004]","[0.2755, 0.0012]"
25,PmiWPLRec,100,0.1,1.2,,"[0.2112, 0.0008]","[0.1845, 0.0011]","[0.176, 0.001]","[0.1699, 0.0009]","[0.1977, 0.0013]","[0.1436, 0.0007]","[0.1267, 0.0006]","[0.0743, 0.0006]","[0.106, 0.0007]","[0.1363, 0.0008]","[0.0398, 0.0004]","[0.2733, 0.0012]"
26,PmiWPLRec,100,10,0.8,,"[0.1736, 0.0007]","[0.1494, 0.0009]","[0.1428, 0.0008]","[0.1378, 0.0007]","[0.1592, 0.0011]","[0.1154, 0.0005]","[0.1058, 0.0005]","[0.0649, 0.0005]","[0.0919, 0.0006]","[0.1167, 0.0007]","[0.0353, 0.0004]","[0.2229, 0.0011]"
