,model,rank,alpha,root,topK,NDCG,R-Precision,Precision@5,Precision@10,Precision@15,Precision@20,Recall@5,Recall@10,Recall@15,Recall@20
33,PmiWPLRec,100,1,1.3,,"[0.06649, 0.00049]","[0.04754, 0.00037]","[0.1081, 0.00097]","[0.10005, 0.00079]","[0.09494, 0.0007]","[0.091, 0.00065]","[0.01904, 0.00023]","[0.03424, 0.00033]","[0.04811, 0.00041]","[0.06079, 0.00048]"
34,PmiWPLRec,100,10,0.7,,"[0.06451, 0.00048]","[0.04361, 0.00036]","[0.08288, 0.00078]","[0.07999, 0.00062]","[0.07858, 0.00054]","[0.0777, 0.0005]","[0.0172, 0.00023]","[0.03496, 0.00038]","[0.05282, 0.0005]","[0.07024, 0.00061]"
35,PmiWPLRec,100,10,0.8,,"[0.06688, 0.0005]","[0.04442, 0.00036]","[0.08584, 0.0008]","[0.08244, 0.00063]","[0.08128, 0.00056]","[0.08043, 0.00051]","[0.01767, 0.00024]","[0.0356, 0.00039]","[0.05448, 0.00053]","[0.07329, 0.00065]"
36,PmiWPLRec,100,10,0.9,,"[0.07067, 0.00054]","[0.04648, 0.00038]","[0.09155, 0.00084]","[0.08682, 0.00066]","[0.08521, 0.00058]","[0.08445, 0.00054]","[0.01905, 0.00025]","[0.03716, 0.00039]","[0.05682, 0.00055]","[0.07727, 0.0007]"
37,PmiWPLRec,100,10,1,,"[0.07245, 0.00055]","[0.04815, 0.00039]","[0.09557, 0.00088]","[0.09025, 0.0007]","[0.08812, 0.00061]","[0.08687, 0.00056]","[0.0198, 0.00026]","[0.0385, 0.00041]","[0.05815, 0.00056]","[0.07854, 0.00071]"
38,PmiWPLRec,100,10,1.1,,"[0.06757, 0.00049]","[0.04744, 0.00037]","[0.09741, 0.00089]","[0.0914, 0.00071]","[0.08804, 0.00063]","[0.08553, 0.00058]","[0.01903, 0.00023]","[0.0354, 0.00035]","[0.0516, 0.00045]","[0.06715, 0.00054]"
39,PmiWPLRec,100,10,1.2,,"[0.06201, 0.00047]","[0.04442, 0.00036]","[0.09546, 0.00089]","[0.0892, 0.00072]","[0.08512, 0.00063]","[0.08211, 0.00058]","[0.01794, 0.00023]","[0.0327, 0.00033]","[0.04637, 0.00042]","[0.05904, 0.00049]"
40,PmiWPLRec,100,10,1.3,,"[0.05321, 0.00043]","[0.03784, 0.00032]","[0.08791, 0.00086]","[0.0814, 0.0007]","[0.07759, 0.00062]","[0.07468, 0.00057]","[0.01502, 0.0002]","[0.02715, 0.00029]","[0.03846, 0.00036]","[0.04893, 0.00043]"
41,ALS,100,0,1,,"[0.07112, 0.00047]","[0.05003, 0.00037]","[0.10349, 0.0009]","[0.09798, 0.00072]","[0.09424, 0.00063]","[0.09123, 0.00058]","[0.01978, 0.00024]","[0.03843, 0.00037]","[0.0556, 0.00046]","[0.07148, 0.00054]"
42,ALS,100,0.1,1,,"[0.07223, 0.00048]","[0.05041, 0.00037]","[0.10491, 0.00091]","[0.09915, 0.00073]","[0.09541, 0.00064]","[0.09213, 0.00058]","[0.01999, 0.00024]","[0.03912, 0.00038]","[0.05684, 0.00048]","[0.07288, 0.00055]"
43,ALS,100,1,1,,"[0.07541, 0.00051]","[0.05108, 0.00038]","[0.10708, 0.00092]","[0.10159, 0.00074]","[0.09812, 0.00065]","[0.09506, 0.0006]","[0.02049, 0.00025]","[0.0403, 0.00039]","[0.05991, 0.00053]","[0.07778, 0.00062]"
44,ALS,100,10,1,,"[0.07664, 0.00054]","[0.05122, 0.00038]","[0.10204, 0.00088]","[0.09761, 0.0007]","[0.09556, 0.00062]","[0.09382, 0.00057]","[0.02071, 0.00025]","[0.04035, 0.0004]","[0.0612, 0.00056]","[0.0816, 0.0007]"
