Method,rank,alpha,root,r-precision,b-ndcg@100,b-ndcg@200,b-ndcg@300,b-ndcg@400,b-ndcg@500
PLRec,100,0,1,0.1264,0.1734,0.2062,0.2318,0.2501,0.2642
PmiPLRec,100,0,1,0.1471,0.2014,0.2352,0.2608,0.2781,0.2908
PmiPLRec,100,0.01,1,0.1473,0.2016,0.2353,0.2608,0.2781,0.2909
PmiPLRec,100,0.1,1,0.1475,0.2017,0.2356,0.2612,0.2785,0.2914
PmiPLRec,100,1,1,0.1479,0.2024,0.2371,0.2634,0.2812,0.2946
PmiPLRec,100,10,1,0.1433,0.1961,0.2315,0.2591,0.2785,0.2933
PmiPLRec,100,100,1,0.1146,0.1586,0.1902,0.2162,0.2350,0.2500

