,model,NDCG,R-Precision,Precision@5,Precision@10,Precision@15,Precision@20,Recall@5,Recall@10,Recall@15,Recall@20
44,ALS,"[0.07664, 0.00054]","[0.05122, 0.00038]","[0.10204, 0.00088]","[0.09761, 0.0007]","[0.09556, 0.00062]","[0.09382, 0.00057]","[0.02071, 0.00025]","[0.04035, 0.0004]","[0.0612, 0.00056]","[0.0816, 0.0007]"
8,PureSVD,"[0.07131, 0.00047]","[0.05018, 0.00037]","[0.10336, 0.0009]","[0.09818, 0.00072]","[0.09437, 0.00063]","[0.09138, 0.00058]","[0.01971, 0.00024]","[0.0387, 0.00037]","[0.05596, 0.00047]","[0.0719, 0.00054]"
7,PLRec,"[0.07129, 0.00047]","[0.05011, 0.00037]","[0.10342, 0.0009]","[0.09813, 0.00072]","[0.09445, 0.00063]","[0.09143, 0.00058]","[0.01972, 0.00024]","[0.03861, 0.00037]","[0.056, 0.00047]","[0.07195, 0.00054]"
10,WPLRec,"[0.07129, 0.00047]","[0.05011, 0.00037]","[0.10342, 0.0009]","[0.09813, 0.00072]","[0.09445, 0.00063]","[0.09143, 0.00058]","[0.01972, 0.00024]","[0.03861, 0.00037]","[0.056, 0.00047]","[0.07195, 0.00054]"
3,PmiPLRec,"[0.08852, 0.0006]","[0.05947, 0.00044]","[0.12113, 0.00102]","[0.11392, 0.00082]","[0.11057, 0.00073]","[0.10836, 0.00067]","[0.02399, 0.00027]","[0.04635, 0.00043]","[0.06964, 0.0006]","[0.09292, 0.00074]"
16,PmiWPLRec,"[0.08852, 0.0006]","[0.05947, 0.00044]","[0.12113, 0.00102]","[0.11392, 0.00082]","[0.11057, 0.00073]","[0.10836, 0.00067]","[0.02399, 0.00027]","[0.04635, 0.00043]","[0.06964, 0.0006]","[0.09292, 0.00074]"
