model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCE-PLRec,50,1,1,10,Cosine,0,0.7,,"[0.0362, 0.0018]","[0.0063, 0.0004]","[0.0055, 0.0003]","[0.005, 0.0003]","[0.0079, 0.0006]","[0.0034, 0.0001]","[0.0116, 0.0013]","[0.0343, 0.0024]","[0.045, 0.0028]","[0.0541, 0.003]","[0.0223, 0.002]","[0.0898, 0.0038]"
NCE-PLRec,50,1,1,10,Cosine,0,0.8,,"[0.0366, 0.0018]","[0.0064, 0.0004]","[0.0057, 0.0003]","[0.0051, 0.0003]","[0.0081, 0.0006]","[0.0034, 0.0001]","[0.0113, 0.0013]","[0.0347, 0.0024]","[0.0457, 0.0028]","[0.0549, 0.003]","[0.0227, 0.002]","[0.0905, 0.0038]"
NCE-PLRec,50,1,1,10,Cosine,0,0.9,,"[0.0368, 0.0018]","[0.0066, 0.0004]","[0.0057, 0.0003]","[0.0052, 0.0003]","[0.0084, 0.0007]","[0.0034, 0.0001]","[0.0115, 0.0013]","[0.0352, 0.0024]","[0.0459, 0.0028]","[0.0558, 0.003]","[0.0236, 0.002]","[0.0905, 0.0038]"
NCE-PLRec,50,1,1,10,Cosine,0,1.0,,"[0.0376, 0.0018]","[0.0066, 0.0004]","[0.0058, 0.0003]","[0.0053, 0.0003]","[0.0085, 0.0007]","[0.0035, 0.0001]","[0.0115, 0.0013]","[0.0359, 0.0025]","[0.0467, 0.0028]","[0.0569, 0.0031]","[0.0238, 0.002]","[0.0928, 0.0039]"
NCE-PLRec,50,1,1,10,Cosine,0,1.1,,"[0.0385, 0.0019]","[0.0067, 0.0004]","[0.0059, 0.0003]","[0.0054, 0.0003]","[0.0087, 0.0007]","[0.0036, 0.0001]","[0.0122, 0.0013]","[0.0362, 0.0025]","[0.0469, 0.0028]","[0.0573, 0.0031]","[0.0243, 0.002]","[0.0951, 0.0039]"
NCE-PLRec,50,1,1,10,Cosine,0,1.2,,"[0.0393, 0.0019]","[0.0071, 0.0004]","[0.0061, 0.0003]","[0.0055, 0.0003]","[0.0089, 0.0007]","[0.0036, 0.0001]","[0.0125, 0.0014]","[0.0382, 0.0025]","[0.049, 0.0029]","[0.0589, 0.0031]","[0.0247, 0.0021]","[0.096, 0.0039]"
NCE-PLRec,50,1,1,10,Cosine,0,1.3,,"[0.0398, 0.0019]","[0.0072, 0.0004]","[0.0062, 0.0003]","[0.0055, 0.0003]","[0.0089, 0.0007]","[0.0037, 0.0001]","[0.0128, 0.0014]","[0.0387, 0.0025]","[0.0499, 0.0029]","[0.0586, 0.0031]","[0.0246, 0.002]","[0.0981, 0.004]"
NCE-PLRec,50,1,10,10,Cosine,0,0.7,,"[0.0362, 0.0018]","[0.0063, 0.0004]","[0.0056, 0.0003]","[0.005, 0.0003]","[0.0079, 0.0006]","[0.0034, 0.0001]","[0.0116, 0.0013]","[0.0343, 0.0024]","[0.045, 0.0028]","[0.0541, 0.003]","[0.0223, 0.002]","[0.0898, 0.0038]"
NCE-PLRec,50,1,10,10,Cosine,0,0.8,,"[0.0366, 0.0018]","[0.0064, 0.0004]","[0.0057, 0.0003]","[0.0051, 0.0003]","[0.0081, 0.0006]","[0.0034, 0.0001]","[0.0113, 0.0013]","[0.0347, 0.0024]","[0.0457, 0.0028]","[0.0549, 0.003]","[0.0227, 0.002]","[0.0905, 0.0038]"
NCE-PLRec,50,1,10,10,Cosine,0,0.9,,"[0.0368, 0.0018]","[0.0066, 0.0004]","[0.0057, 0.0003]","[0.0052, 0.0003]","[0.0085, 0.0007]","[0.0034, 0.0001]","[0.0115, 0.0013]","[0.0352, 0.0024]","[0.0459, 0.0028]","[0.0558, 0.003]","[0.0237, 0.002]","[0.0905, 0.0038]"
