model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
WRMF,200,10,10000,10,Cosine,0,1.0,,"[0.0855, 0.0003]","[0.0664, 0.0003]","[0.0638, 0.0003]","[0.0606, 0.0002]","[0.0661, 0.0004]","[0.0486, 0.0002]","[0.049, 0.0002]","[0.036, 0.0003]","[0.0497, 0.0003]","[0.0635, 0.0003]","[0.0206, 0.0002]","[0.1288, 0.0005]"
WRMF,50,100,1,10,Cosine,0,1.0,,"[0.1353, 0.0004]","[0.0756, 0.0003]","[0.0734, 0.0003]","[0.0716, 0.0002]","[0.0789, 0.0004]","[0.0637, 0.0002]","[0.0672, 0.0003]","[0.0638, 0.0004]","[0.0904, 0.0005]","[0.1149, 0.0005]","[0.0347, 0.0003]","[0.2266, 0.0007]"
WRMF,50,100,10,10,Cosine,0,1.0,,"[0.1361, 0.0004]","[0.0759, 0.0003]","[0.0737, 0.0003]","[0.0718, 0.0002]","[0.0792, 0.0004]","[0.0638, 0.0002]","[0.0675, 0.0003]","[0.0645, 0.0004]","[0.0913, 0.0005]","[0.1159, 0.0005]","[0.0351, 0.0003]","[0.2279, 0.0007]"
WRMF,50,100,100,10,Cosine,0,1.0,,"[0.1369, 0.0004]","[0.0761, 0.0003]","[0.074, 0.0003]","[0.0721, 0.0002]","[0.0793, 0.0004]","[0.064, 0.0002]","[0.0678, 0.0003]","[0.0655, 0.0004]","[0.0929, 0.0005]","[0.1175, 0.0005]","[0.0356, 0.0003]","[0.2294, 0.0007]"
WRMF,50,100,1000,10,Cosine,0,1.0,,"[0.1483, 0.0004]","[0.0856, 0.0003]","[0.0824, 0.0003]","[0.0798, 0.0003]","[0.0902, 0.0004]","[0.0691, 0.0002]","[0.0748, 0.0003]","[0.073, 0.0004]","[0.1019, 0.0005]","[0.128, 0.0006]","[0.0405, 0.0003]","[0.243, 0.0007]"
WRMF,50,100,10000,10,Cosine,0,1.0,,"[0.1308, 0.0004]","[0.0811, 0.0003]","[0.078, 0.0003]","[0.0754, 0.0003]","[0.0853, 0.0004]","[0.0653, 0.0002]","[0.067, 0.0003]","[0.0615, 0.0004]","[0.0857, 0.0005]","[0.1074, 0.0005]","[0.0337, 0.0003]","[0.2078, 0.0006]"
WRMF,100,100,1,10,Cosine,0,1.0,,"[0.1363, 0.0004]","[0.0752, 0.0003]","[0.0729, 0.0002]","[0.0711, 0.0002]","[0.0783, 0.0004]","[0.0627, 0.0002]","[0.0688, 0.0003]","[0.0682, 0.0004]","[0.0949, 0.0005]","[0.1188, 0.0005]","[0.0376, 0.0003]","[0.225, 0.0007]"
WRMF,100,100,10,10,Cosine,0,1.0,,"[0.1369, 0.0004]","[0.0753, 0.0003]","[0.0732, 0.0002]","[0.0713, 0.0002]","[0.0783, 0.0004]","[0.063, 0.0002]","[0.0688, 0.0003]","[0.0682, 0.0004]","[0.0952, 0.0005]","[0.1192, 0.0005]","[0.0374, 0.0003]","[0.2265, 0.0007]"
WRMF,100,100,100,10,Cosine,0,1.0,,"[0.1383, 0.0004]","[0.0754, 0.0003]","[0.0733, 0.0002]","[0.0714, 0.0002]","[0.0782, 0.0004]","[0.0633, 0.0002]","[0.069, 0.0003]","[0.0691, 0.0004]","[0.0966, 0.0005]","[0.1211, 0.0005]","[0.0378, 0.0003]","[0.23, 0.0007]"
WRMF,100,100,1000,10,Cosine,0,1.0,,"[0.1521, 0.0004]","[0.0871, 0.0003]","[0.0838, 0.0003]","[0.0812, 0.0003]","[0.0917, 0.0004]","[0.0703, 0.0002]","[0.0777, 0.0003]","[0.0763, 0.0004]","[0.1055, 0.0005]","[0.1315, 0.0006]","[0.0427, 0.0003]","[0.2474, 0.0007]"
WRMF,100,100,10000,10,Cosine,0,1.0,,"[0.1309, 0.0004]","[0.0811, 0.0003]","[0.078, 0.0003]","[0.0754, 0.0003]","[0.0853, 0.0004]","[0.0654, 0.0002]","[0.067, 0.0003]","[0.0615, 0.0004]","[0.0857, 0.0005]","[0.1075, 0.0005]","[0.0337, 0.0003]","[0.2081, 0.0006]"
WRMF,200,100,1,10,Cosine,0,1.0,,"[0.1304, 0.0004]","[0.079, 0.0003]","[0.0749, 0.0002]","[0.0716, 0.0002]","[0.085, 0.0004]","[0.0597, 0.0002]","[0.0725, 0.0003]","[0.068, 0.0004]","[0.0914, 0.0004]","[0.1117, 0.0005]","[0.0399, 0.0003]","[0.1992, 0.0006]"
WRMF,200,100,10,10,Cosine,0,1.0,,"[0.1331, 0.0004]","[0.08, 0.0003]","[0.0759, 0.0002]","[0.0727, 0.0002]","[0.0856, 0.0004]","[0.0608, 0.0002]","[0.0738, 0.0003]","[0.0697, 0.0004]","[0.0938, 0.0005]","[0.1147, 0.0005]","[0.0406, 0.0003]","[0.2046, 0.0006]"
WRMF,200,100,100,10,Cosine,0,1.0,,"[0.1402, 0.0004]","[0.0809, 0.0003]","[0.0774, 0.0003]","[0.0744, 0.0002]","[0.0855, 0.0004]","[0.0632, 0.0002]","[0.0752, 0.0003]","[0.0732, 0.0004]","[0.0995, 0.0005]","[0.1224, 0.0005]","[0.0418, 0.0003]","[0.2218, 0.0007]"
WRMF,200,100,1000,10,Cosine,0,1.0,,"[0.1579, 0.0004]","[0.0913, 0.0003]","[0.0876, 0.0003]","[0.0845, 0.0003]","[0.0967, 0.0004]","[0.0721, 0.0002]","[0.0822, 0.0003]","[0.0803, 0.0004]","[0.1103, 0.0005]","[0.1368, 0.0006]","[0.0455, 0.0003]","[0.2531, 0.0007]"
WRMF,200,100,10000,10,Cosine,0,1.0,,"[0.1308, 0.0004]","[0.0811, 0.0003]","[0.0779, 0.0003]","[0.0753, 0.0003]","[0.0853, 0.0004]","[0.0653, 0.0002]","[0.067, 0.0003]","[0.0615, 0.0004]","[0.0856, 0.0005]","[0.1074, 0.0005]","[0.0337, 0.0003]","[0.2079, 0.0006]"
