,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
1,CDAE,50,1,0.0001,300,Cosine,0.3,1.0,,"[0.0869, 0.0003]","[0.0583, 0.0003]","[0.0583, 0.0002]","[0.0567, 0.0002]","[0.0571, 0.0004]","[0.0488, 0.0002]","[0.0466, 0.0002]","[0.0332, 0.0003]","[0.0527, 0.0003]","[0.0688, 0.0004]","[0.017, 0.0002]","[0.1355, 0.0005]"
2,CDAE,50,1,0.001,300,Cosine,0.3,1.0,,"[0.0823, 0.0003]","[0.0534, 0.0003]","[0.0557, 0.0002]","[0.0552, 0.0002]","[0.0504, 0.0003]","[0.0466, 0.0002]","[0.0454, 0.0002]","[0.0305, 0.0002]","[0.0487, 0.0003]","[0.0639, 0.0003]","[0.0159, 0.0002]","[0.1281, 0.0005]"
3,CDAE,50,1,0.01,300,Cosine,0.3,1.0,,"[0.0855, 0.0003]","[0.0583, 0.0003]","[0.0586, 0.0003]","[0.0567, 0.0002]","[0.0543, 0.0003]","[0.0479, 0.0002]","[0.0471, 0.0002]","[0.0333, 0.0003]","[0.0493, 0.0003]","[0.0642, 0.0003]","[0.0174, 0.0002]","[0.1342, 0.0005]"
4,CDAE,50,1,0.1,300,Cosine,0.3,1.0,,"[0.088, 0.0003]","[0.0621, 0.0003]","[0.0599, 0.0003]","[0.057, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
5,CDAE,100,1,1e-05,300,Cosine,0.3,1.0,,"[0.1252, 0.0004]","[0.0866, 0.0004]","[0.0823, 0.0003]","[0.0788, 0.0003]","[0.0911, 0.0004]","[0.0662, 0.0002]","[0.0686, 0.0003]","[0.057, 0.0003]","[0.0788, 0.0004]","[0.0983, 0.0004]","[0.0313, 0.0003]","[0.1906, 0.0006]"
6,CDAE,100,1,0.0001,300,Cosine,0.3,1.0,,"[0.0838, 0.0003]","[0.0561, 0.0003]","[0.0558, 0.0002]","[0.0547, 0.0002]","[0.0618, 0.0004]","[0.0465, 0.0002]","[0.046, 0.0002]","[0.0335, 0.0003]","[0.0489, 0.0003]","[0.0625, 0.0003]","[0.019, 0.0002]","[0.1287, 0.0005]"
7,CDAE,100,1,0.001,300,Cosine,0.3,1.0,,"[0.0796, 0.0003]","[0.0511, 0.0003]","[0.0498, 0.0002]","[0.0499, 0.0002]","[0.0492, 0.0003]","[0.044, 0.0002]","[0.0439, 0.0002]","[0.034, 0.0003]","[0.0472, 0.0003]","[0.0602, 0.0003]","[0.0163, 0.0002]","[0.1248, 0.0005]"
8,CDAE,100,1,0.01,300,Cosine,0.3,1.0,,"[0.0822, 0.0003]","[0.0542, 0.0003]","[0.0533, 0.0002]","[0.0527, 0.0002]","[0.0503, 0.0003]","[0.0465, 0.0002]","[0.0444, 0.0002]","[0.0319, 0.0002]","[0.0464, 0.0003]","[0.0628, 0.0003]","[0.0161, 0.0002]","[0.1296, 0.0005]"
9,CDAE,100,1,0.1,300,Cosine,0.3,1.0,,"[0.088, 0.0003]","[0.0621, 0.0003]","[0.0599, 0.0003]","[0.0571, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0637, 0.0003]","[0.0205, 0.0002]","[0.1391, 0.0005]"
10,CDAE,200,1,1e-05,300,Cosine,0.3,1.0,,"[0.1229, 0.0004]","[0.086, 0.0003]","[0.0816, 0.0003]","[0.0779, 0.0003]","[0.0916, 0.0004]","[0.065, 0.0002]","[0.0685, 0.0003]","[0.0564, 0.0003]","[0.0781, 0.0004]","[0.0972, 0.0004]","[0.0315, 0.0003]","[0.1848, 0.0006]"
11,CDAE,200,1,0.0001,300,Cosine,0.3,1.0,,"[0.083, 0.0003]","[0.0575, 0.0003]","[0.0555, 0.0002]","[0.0522, 0.0002]","[0.0589, 0.0003]","[0.0454, 0.0002]","[0.0472, 0.0002]","[0.0357, 0.0003]","[0.0515, 0.0003]","[0.0629, 0.0003]","[0.0194, 0.0002]","[0.1278, 0.0005]"
12,CDAE,200,1,0.001,300,Cosine,0.3,1.0,,"[0.0758, 0.0003]","[0.0508, 0.0003]","[0.0472, 0.0002]","[0.0459, 0.0002]","[0.0543, 0.0003]","[0.0409, 0.0001]","[0.0415, 0.0002]","[0.0351, 0.0003]","[0.0444, 0.0003]","[0.0564, 0.0003]","[0.0174, 0.0002]","[0.1179, 0.0004]"
13,CDAE,200,1,0.01,300,Cosine,0.3,1.0,,"[0.0821, 0.0003]","[0.0535, 0.0003]","[0.0543, 0.0002]","[0.0545, 0.0002]","[0.0551, 0.0003]","[0.045, 0.0002]","[0.0446, 0.0002]","[0.0331, 0.0002]","[0.0485, 0.0003]","[0.0653, 0.0003]","[0.0182, 0.0002]","[0.1297, 0.0005]"
14,CDAE,200,1,0.1,300,Cosine,0.3,1.0,,"[0.088, 0.0003]","[0.0622, 0.0003]","[0.0599, 0.0003]","[0.057, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
0,CDAE,50,1,1e-05,300,Cosine,0.4,1.0,,"[0.1248, 0.0004]","[0.0863, 0.0004]","[0.0821, 0.0003]","[0.0786, 0.0003]","[0.0905, 0.0004]","[0.0661, 0.0002]","[0.0679, 0.0003]","[0.0567, 0.0003]","[0.0795, 0.0004]","[0.0993, 0.0005]","[0.0305, 0.0003]","[0.1905, 0.0006]"
1,CDAE,50,1,0.0001,300,Cosine,0.4,1.0,,"[0.0861, 0.0003]","[0.0588, 0.0003]","[0.0587, 0.0003]","[0.057, 0.0002]","[0.0564, 0.0004]","[0.0488, 0.0002]","[0.0462, 0.0002]","[0.0311, 0.0002]","[0.0498, 0.0003]","[0.0642, 0.0003]","[0.0165, 0.0002]","[0.1352, 0.0005]"
2,CDAE,50,1,0.001,300,Cosine,0.4,1.0,,"[0.0817, 0.0003]","[0.0546, 0.0003]","[0.0553, 0.0002]","[0.0549, 0.0002]","[0.0504, 0.0003]","[0.0461, 0.0002]","[0.0454, 0.0002]","[0.0314, 0.0002]","[0.0492, 0.0003]","[0.0634, 0.0003]","[0.0162, 0.0002]","[0.1265, 0.0005]"
3,CDAE,50,1,0.01,300,Cosine,0.4,1.0,,"[0.085, 0.0003]","[0.0555, 0.0003]","[0.0563, 0.0002]","[0.0546, 0.0002]","[0.0556, 0.0003]","[0.048, 0.0002]","[0.0456, 0.0002]","[0.0308, 0.0002]","[0.0487, 0.0003]","[0.063, 0.0003]","[0.0169, 0.0002]","[0.1335, 0.0005]"
4,CDAE,50,1,0.1,300,Cosine,0.4,1.0,,"[0.088, 0.0003]","[0.0622, 0.0003]","[0.0599, 0.0003]","[0.0571, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0637, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
5,CDAE,100,1,1e-05,300,Cosine,0.4,1.0,,"[0.1231, 0.0004]","[0.0859, 0.0003]","[0.0811, 0.0003]","[0.0775, 0.0003]","[0.091, 0.0004]","[0.0654, 0.0002]","[0.0679, 0.0003]","[0.0567, 0.0003]","[0.0768, 0.0004]","[0.0951, 0.0004]","[0.0312, 0.0003]","[0.1875, 0.0006]"
6,CDAE,100,1,0.0001,300,Cosine,0.4,1.0,,"[0.0853, 0.0003]","[0.0556, 0.0003]","[0.0554, 0.0002]","[0.0544, 0.0002]","[0.0571, 0.0003]","[0.0474, 0.0002]","[0.0471, 0.0002]","[0.0339, 0.0003]","[0.0502, 0.0003]","[0.0638, 0.0003]","[0.0194, 0.0002]","[0.1337, 0.0005]"
7,CDAE,100,1,0.001,300,Cosine,0.4,1.0,,"[0.081, 0.0003]","[0.0534, 0.0003]","[0.0518, 0.0002]","[0.0515, 0.0002]","[0.0552, 0.0003]","[0.0446, 0.0002]","[0.0441, 0.0002]","[0.0327, 0.0002]","[0.0455, 0.0003]","[0.0624, 0.0003]","[0.0175, 0.0002]","[0.128, 0.0005]"
8,CDAE,100,1,0.01,300,Cosine,0.4,1.0,,"[0.0812, 0.0003]","[0.0529, 0.0003]","[0.0527, 0.0002]","[0.0538, 0.0002]","[0.0505, 0.0003]","[0.0456, 0.0002]","[0.0445, 0.0002]","[0.0312, 0.0002]","[0.0454, 0.0003]","[0.0628, 0.0003]","[0.0162, 0.0002]","[0.1267, 0.0005]"
9,CDAE,100,1,0.1,300,Cosine,0.4,1.0,,"[0.088, 0.0003]","[0.0622, 0.0003]","[0.0599, 0.0003]","[0.057, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
10,CDAE,200,1,1e-05,300,Cosine,0.4,1.0,,"[0.1229, 0.0004]","[0.0862, 0.0003]","[0.0814, 0.0003]","[0.0777, 0.0003]","[0.0919, 0.0004]","[0.0652, 0.0002]","[0.0688, 0.0003]","[0.0565, 0.0003]","[0.0768, 0.0004]","[0.0943, 0.0004]","[0.0318, 0.0003]","[0.1865, 0.0006]"
11,CDAE,200,1,0.0001,300,Cosine,0.4,1.0,,"[0.0826, 0.0003]","[0.0572, 0.0003]","[0.0548, 0.0002]","[0.0534, 0.0002]","[0.0596, 0.0004]","[0.0458, 0.0002]","[0.0456, 0.0002]","[0.0344, 0.0002]","[0.0486, 0.0003]","[0.0617, 0.0003]","[0.0195, 0.0002]","[0.1285, 0.0005]"
12,CDAE,200,1,0.001,300,Cosine,0.4,1.0,,"[0.0758, 0.0003]","[0.0501, 0.0002]","[0.046, 0.0002]","[0.0434, 0.0002]","[0.0577, 0.0003]","[0.0406, 0.0001]","[0.0411, 0.0002]","[0.0353, 0.0003]","[0.047, 0.0003]","[0.0576, 0.0003]","[0.0187, 0.0002]","[0.1178, 0.0005]"
13,CDAE,200,1,0.01,300,Cosine,0.4,1.0,,"[0.078, 0.0003]","[0.051, 0.0002]","[0.0478, 0.0002]","[0.0437, 0.0002]","[0.0561, 0.0003]","[0.0428, 0.0002]","[0.0415, 0.0002]","[0.0341, 0.0003]","[0.0465, 0.0003]","[0.0573, 0.0003]","[0.0187, 0.0002]","[0.1222, 0.0005]"
14,CDAE,200,1,0.1,300,Cosine,0.4,1.0,,"[0.088, 0.0003]","[0.0621, 0.0003]","[0.0599, 0.0003]","[0.057, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
0,CDAE,50,1,1e-05,300,Cosine,0.5,1.0,,"[0.1235, 0.0004]","[0.0856, 0.0004]","[0.0815, 0.0003]","[0.0779, 0.0003]","[0.0898, 0.0004]","[0.0657, 0.0002]","[0.0672, 0.0003]","[0.0562, 0.0003]","[0.0785, 0.0004]","[0.0976, 0.0005]","[0.0303, 0.0003]","[0.1885, 0.0006]"
1,CDAE,50,1,0.0001,300,Cosine,0.5,1.0,,"[0.0863, 0.0003]","[0.0577, 0.0003]","[0.0578, 0.0003]","[0.0573, 0.0002]","[0.0558, 0.0004]","[0.0487, 0.0002]","[0.0461, 0.0002]","[0.0318, 0.0002]","[0.0495, 0.0003]","[0.0666, 0.0003]","[0.0166, 0.0002]","[0.1359, 0.0005]"
2,CDAE,50,1,0.001,300,Cosine,0.5,1.0,,"[0.0817, 0.0003]","[0.0539, 0.0003]","[0.0546, 0.0002]","[0.0541, 0.0002]","[0.0493, 0.0003]","[0.0461, 0.0002]","[0.0449, 0.0002]","[0.0309, 0.0002]","[0.0492, 0.0003]","[0.0626, 0.0003]","[0.0159, 0.0002]","[0.1273, 0.0005]"
3,CDAE,50,1,0.01,300,Cosine,0.5,1.0,,"[0.0852, 0.0003]","[0.0553, 0.0003]","[0.0574, 0.0002]","[0.0554, 0.0002]","[0.0527, 0.0003]","[0.0483, 0.0002]","[0.0459, 0.0002]","[0.0305, 0.0002]","[0.0495, 0.0003]","[0.0631, 0.0003]","[0.0159, 0.0002]","[0.1343, 0.0005]"
4,CDAE,50,1,0.1,300,Cosine,0.5,1.0,,"[0.088, 0.0003]","[0.0621, 0.0003]","[0.0599, 0.0003]","[0.057, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
5,CDAE,100,1,1e-05,300,Cosine,0.5,1.0,,"[0.1218, 0.0004]","[0.0848, 0.0003]","[0.0801, 0.0003]","[0.0767, 0.0003]","[0.0901, 0.0004]","[0.065, 0.0002]","[0.0672, 0.0003]","[0.0554, 0.0003]","[0.0746, 0.0004]","[0.0934, 0.0004]","[0.031, 0.0003]","[0.1851, 0.0006]"
6,CDAE,100,1,0.0001,300,Cosine,0.5,1.0,,"[0.0842, 0.0003]","[0.0565, 0.0003]","[0.0562, 0.0002]","[0.0557, 0.0002]","[0.055, 0.0003]","[0.0472, 0.0002]","[0.0464, 0.0002]","[0.0321, 0.0002]","[0.0495, 0.0003]","[0.065, 0.0003]","[0.0175, 0.0002]","[0.1311, 0.0005]"
7,CDAE,100,1,0.001,300,Cosine,0.5,1.0,,"[0.0798, 0.0003]","[0.0511, 0.0003]","[0.0509, 0.0002]","[0.0505, 0.0002]","[0.0537, 0.0003]","[0.0436, 0.0002]","[0.0436, 0.0002]","[0.0335, 0.0003]","[0.0477, 0.0003]","[0.0611, 0.0003]","[0.019, 0.0002]","[0.1255, 0.0005]"
8,CDAE,100,1,0.01,300,Cosine,0.5,1.0,,"[0.0819, 0.0003]","[0.0524, 0.0003]","[0.0533, 0.0002]","[0.0542, 0.0002]","[0.0537, 0.0003]","[0.0455, 0.0002]","[0.0459, 0.0002]","[0.0305, 0.0002]","[0.0481, 0.0003]","[0.064, 0.0003]","[0.0186, 0.0002]","[0.1271, 0.0005]"
9,CDAE,100,1,0.1,300,Cosine,0.5,1.0,,"[0.088, 0.0003]","[0.0621, 0.0003]","[0.0599, 0.0003]","[0.057, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
10,CDAE,200,1,1e-05,300,Cosine,0.5,1.0,,"[0.1205, 0.0004]","[0.0842, 0.0003]","[0.0792, 0.0003]","[0.0756, 0.0003]","[0.0899, 0.0004]","[0.0643, 0.0002]","[0.0674, 0.0003]","[0.0553, 0.0003]","[0.0737, 0.0004]","[0.0906, 0.0004]","[0.0312, 0.0003]","[0.1829, 0.0006]"
11,CDAE,200,1,0.0001,300,Cosine,0.5,1.0,,"[0.0819, 0.0003]","[0.0554, 0.0003]","[0.0542, 0.0002]","[0.0543, 0.0002]","[0.058, 0.0004]","[0.0453, 0.0002]","[0.0457, 0.0002]","[0.0355, 0.0003]","[0.0494, 0.0003]","[0.0636, 0.0003]","[0.0192, 0.0002]","[0.1268, 0.0005]"
12,CDAE,200,1,0.001,300,Cosine,0.5,1.0,,"[0.0762, 0.0003]","[0.0492, 0.0002]","[0.0459, 0.0002]","[0.0444, 0.0002]","[0.0571, 0.0003]","[0.0408, 0.0001]","[0.0406, 0.0002]","[0.0357, 0.0003]","[0.0482, 0.0003]","[0.0583, 0.0003]","[0.0187, 0.0002]","[0.1191, 0.0005]"
13,CDAE,200,1,0.01,300,Cosine,0.5,1.0,,"[0.0784, 0.0003]","[0.0501, 0.0002]","[0.0481, 0.0002]","[0.0467, 0.0002]","[0.0563, 0.0003]","[0.0426, 0.0002]","[0.0426, 0.0002]","[0.0351, 0.0003]","[0.0476, 0.0003]","[0.059, 0.0003]","[0.0184, 0.0002]","[0.122, 0.0005]"
14,CDAE,200,1,0.1,300,Cosine,0.5,1.0,,"[0.088, 0.0003]","[0.0621, 0.0003]","[0.0599, 0.0003]","[0.057, 0.0002]","[0.0631, 0.0004]","[0.0488, 0.0002]","[0.0474, 0.0002]","[0.0363, 0.0003]","[0.0511, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.1392, 0.0005]"
