,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda,similarity,iter,corruption
0,CML,50,1,,,"[0.1571, 0.0035]","[0.0894, 0.0031]","[0.0853, 0.0027]","[0.0826, 0.0024]","[0.0921, 0.0039]","[0.0696, 0.0016]","[0.084, 0.0026]","[0.0714, 0.003]","[0.0981, 0.0035]","[0.1235, 0.0039]","[0.0383, 0.0022]","[0.243, 0.0053]",0.00001,Euclidean,30,0
1,CML,50,1,,,"[0.1594, 0.0035]","[0.0922, 0.0031]","[0.088, 0.0027]","[0.085, 0.0024]","[0.0954, 0.004]","[0.0703, 0.0017]","[0.0853, 0.0026]","[0.0737, 0.003]","[0.1016, 0.0036]","[0.1266, 0.004]","[0.0393, 0.0022]","[0.2449, 0.0053]",0.0001,Euclidean,30,0
2,CML,50,1,,,"[0.1582, 0.0035]","[0.09, 0.0031]","[0.0873, 0.0027]","[0.0841, 0.0024]","[0.0944, 0.004]","[0.0699, 0.0016]","[0.0851, 0.0026]","[0.0722, 0.003]","[0.1012, 0.0036]","[0.1265, 0.004]","[0.0401, 0.0022]","[0.2445, 0.0053]",0.001,Euclidean,30,0
3,CML,50,1,,,"[0.157, 0.0035]","[0.0905, 0.0031]","[0.0864, 0.0027]","[0.0833, 0.0024]","[0.0921, 0.0039]","[0.0699, 0.0017]","[0.0852, 0.0026]","[0.0705, 0.0029]","[0.0975, 0.0035]","[0.1234, 0.0039]","[0.038, 0.0021]","[0.2419, 0.0053]",0.01,Euclidean,30,0
4,CML,50,1,,,"[0.157, 0.0035]","[0.0895, 0.0031]","[0.0867, 0.0027]","[0.084, 0.0024]","[0.0931, 0.0039]","[0.0697, 0.0017]","[0.0839, 0.0026]","[0.0699, 0.0029]","[0.0978, 0.0035]","[0.124, 0.0039]","[0.0384, 0.0021]","[0.2412, 0.0053]",0.1,Euclidean,30,0
5,CML,100,1,,,"[0.1766, 0.0037]","[0.0958, 0.0031]","[0.0913, 0.0026]","[0.0883, 0.0023]","[0.0989, 0.004]","[0.0737, 0.0016]","[0.0918, 0.0028]","[0.0834, 0.0033]","[0.1156, 0.004]","[0.1462, 0.0045]","[0.0459, 0.0024]","[0.2784, 0.0058]",0.00001,Euclidean,30,0
6,CML,100,1,,,"[0.1745, 0.0037]","[0.0939, 0.003]","[0.0904, 0.0026]","[0.0873, 0.0023]","[0.0972, 0.0039]","[0.0733, 0.0016]","[0.0892, 0.0027]","[0.0816, 0.0033]","[0.1128, 0.0039]","[0.1421, 0.0044]","[0.0441, 0.0023]","[0.2773, 0.0058]",0.0001,Euclidean,30,0
7,CML,100,1,,,"[0.175, 0.0037]","[0.0923, 0.003]","[0.0896, 0.0026]","[0.0865, 0.0023]","[0.0958, 0.0039]","[0.0736, 0.0016]","[0.0891, 0.0027]","[0.0799, 0.0032]","[0.1127, 0.0039]","[0.1417, 0.0043]","[0.0436, 0.0023]","[0.2798, 0.0058]",0.001,Euclidean,30,0
8,CML,100,1,,,"[0.1761, 0.0037]","[0.0941, 0.003]","[0.09, 0.0026]","[0.0874, 0.0023]","[0.0979, 0.004]","[0.0738, 0.0016]","[0.0915, 0.0027]","[0.0833, 0.0034]","[0.1132, 0.0039]","[0.1425, 0.0043]","[0.0459, 0.0024]","[0.2781, 0.0058]",0.01,Euclidean,30,0
9,CML,100,1,,,"[0.1742, 0.0037]","[0.0937, 0.0031]","[0.0901, 0.0026]","[0.0869, 0.0023]","[0.0968, 0.0039]","[0.0734, 0.0016]","[0.09, 0.0027]","[0.0814, 0.0033]","[0.1131, 0.0039]","[0.1413, 0.0044]","[0.0444, 0.0024]","[0.2757, 0.0058]",0.1,Euclidean,30,0
10,CML,200,1,,,"[0.1819, 0.0037]","[0.0959, 0.0031]","[0.0918, 0.0026]","[0.0889, 0.0023]","[0.1004, 0.004]","[0.0752, 0.0016]","[0.091, 0.0027]","[0.0839, 0.0033]","[0.1157, 0.0039]","[0.1464, 0.0044]","[0.0466, 0.0024]","[0.2948, 0.0061]",0.00001,Euclidean,30,0
11,CML,200,1,,,"[0.1819, 0.0037]","[0.0964, 0.0031]","[0.0921, 0.0026]","[0.0893, 0.0023]","[0.1014, 0.004]","[0.0753, 0.0016]","[0.092, 0.0027]","[0.0846, 0.0034]","[0.1171, 0.004]","[0.1484, 0.0044]","[0.0477, 0.0025]","[0.2947, 0.0061]",0.0001,Euclidean,30,0
12,CML,200,1,,,"[0.1816, 0.0037]","[0.0953, 0.0031]","[0.0923, 0.0026]","[0.0888, 0.0023]","[0.1011, 0.004]","[0.0753, 0.0016]","[0.0914, 0.0027]","[0.0829, 0.0034]","[0.1165, 0.004]","[0.1458, 0.0044]","[0.0464, 0.0025]","[0.2936, 0.0061]",0.001,Euclidean,30,0
13,CML,200,1,,,"[0.1819, 0.0037]","[0.0956, 0.003]","[0.0926, 0.0026]","[0.0893, 0.0023]","[0.1021, 0.004]","[0.0752, 0.0016]","[0.0914, 0.0027]","[0.0839, 0.0034]","[0.1166, 0.004]","[0.1467, 0.0044]","[0.0474, 0.0025]","[0.2944, 0.0061]",0.01,Euclidean,30,0
14,CML,200,1,,,"[0.1826, 0.0037]","[0.0956, 0.003]","[0.0917, 0.0026]","[0.0891, 0.0023]","[0.0997, 0.004]","[0.0755, 0.0016]","[0.0914, 0.0027]","[0.0831, 0.0034]","[0.1149, 0.0039]","[0.1472, 0.0044]","[0.0457, 0.0024]","[0.295, 0.0061]",0.1,Euclidean,30,0
