,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda,similarity,iter,corruption
29,WRMF,100,100,,,"[0.1296, 0.0033]","[0.0823, 0.0033]","[0.0787, 0.0028]","[0.0758, 0.0025]","[0.0886, 0.0042]","[0.061, 0.0018]","[0.0699, 0.0025]","[0.0528, 0.0025]","[0.0754, 0.003]","[0.0981, 0.0034]","[0.0292, 0.0018]","[0.1924, 0.0049]",10000,Cosine,10,0
30,WRMF,200,1,,,"[0.1357, 0.0034]","[0.0699, 0.0023]","[0.0664, 0.0019]","[0.063, 0.0017]","[0.0746, 0.0033]","[0.0514, 0.0011]","[0.0702, 0.0025]","[0.0719, 0.0033]","[0.0974, 0.0038]","[0.118, 0.0042]","[0.0404, 0.0025]","[0.2112, 0.0053]",1,Cosine,10,0
31,WRMF,200,1,,,"[0.1571, 0.0037]","[0.0774, 0.0025]","[0.074, 0.0021]","[0.0713, 0.0018]","[0.0815, 0.0034]","[0.0594, 0.0013]","[0.078, 0.0026]","[0.0823, 0.0036]","[0.1124, 0.0042]","[0.1387, 0.0046]","[0.045, 0.0026]","[0.2509, 0.0059]",10,Cosine,10,0
32,WRMF,200,1,,,"[0.1558, 0.0037]","[0.0955, 0.0034]","[0.0909, 0.0029]","[0.0865, 0.0026]","[0.1003, 0.0043]","[0.0701, 0.0018]","[0.0842, 0.0027]","[0.0694, 0.003]","[0.0967, 0.0036]","[0.1199, 0.0039]","[0.0378, 0.0022]","[0.2336, 0.0053]",100,Cosine,10,0
33,WRMF,200,1,,,"[0.1288, 0.0033]","[0.0829, 0.0033]","[0.0797, 0.0029]","[0.0772, 0.0026]","[0.0914, 0.0042]","[0.0615, 0.0018]","[0.0708, 0.0025]","[0.0527, 0.0025]","[0.0751, 0.003]","[0.0991, 0.0035]","[0.0303, 0.0018]","[0.1917, 0.0049]",1000,Cosine,10,0
34,WRMF,200,1,,,"[0.0091, 0.0006]","[0.0044, 0.0006]","[0.0043, 0.0005]","[0.0043, 0.0004]","[0.0042, 0.0007]","[0.0051, 0.0003]","[0.0035, 0.0003]","[0.0021, 0.0004]","[0.0034, 0.0005]","[0.0048, 0.0007]","[0.0009, 0.0002]","[0.0167, 0.0012]",10000,Cosine,10,0
35,WRMF,200,10,,,"[0.1357, 0.0034]","[0.07, 0.0023]","[0.0665, 0.0019]","[0.0632, 0.0017]","[0.0762, 0.0032]","[0.0505, 0.0011]","[0.0686, 0.0024]","[0.0731, 0.0034]","[0.099, 0.0039]","[0.121, 0.0043]","[0.0419, 0.0025]","[0.2134, 0.0054]",1,Cosine,10,0
36,WRMF,200,10,,,"[0.1481, 0.0036]","[0.0746, 0.0024]","[0.0711, 0.002]","[0.068, 0.0017]","[0.0805, 0.0033]","[0.0549, 0.0012]","[0.0752, 0.0026]","[0.08, 0.0035]","[0.1086, 0.0041]","[0.1324, 0.0045]","[0.0448, 0.0026]","[0.2347, 0.0057]",10,Cosine,10,0
37,WRMF,200,10,,,"[0.1932, 0.004]","[0.0929, 0.0028]","[0.0885, 0.0024]","[0.0864, 0.0021]","[0.0983, 0.0038]","[0.0739, 0.0015]","[0.0939, 0.0029]","[0.0979, 0.004]","[0.134, 0.0047]","[0.1687, 0.0052]","[0.0545, 0.0029]","[0.3193, 0.0067]",100,Cosine,10,0
38,WRMF,200,10,,,"[0.1299, 0.0034]","[0.0825, 0.0033]","[0.0788, 0.0028]","[0.0765, 0.0025]","[0.0903, 0.0042]","[0.0612, 0.0018]","[0.0705, 0.0025]","[0.0527, 0.0025]","[0.0748, 0.003]","[0.0992, 0.0035]","[0.03, 0.0018]","[0.1925, 0.0049]",1000,Cosine,10,0
39,WRMF,200,10,,,"[0.1288, 0.0033]","[0.0829, 0.0033]","[0.0797, 0.0029]","[0.0772, 0.0026]","[0.0914, 0.0042]","[0.0615, 0.0018]","[0.0708, 0.0025]","[0.0527, 0.0025]","[0.0751, 0.003]","[0.0991, 0.0035]","[0.0303, 0.0018]","[0.1917, 0.0049]",10000,Cosine,10,0
40,WRMF,200,100,,,"[0.1055, 0.0029]","[0.0577, 0.0021]","[0.0538, 0.0018]","[0.0513, 0.0015]","[0.062, 0.0029]","[0.0423, 0.001]","[0.0545, 0.0021]","[0.0525, 0.0028]","[0.0706, 0.0031]","[0.0878, 0.0035]","[0.0304, 0.0021]","[0.164, 0.0046]",1,Cosine,10,0
41,WRMF,200,100,,,"[0.1156, 0.0031]","[0.0625, 0.0022]","[0.0586, 0.0018]","[0.0554, 0.0016]","[0.0665, 0.0031]","[0.0458, 0.0011]","[0.0594, 0.0022]","[0.0579, 0.0029]","[0.079, 0.0034]","[0.0964, 0.0037]","[0.0333, 0.0022]","[0.181, 0.0049]",10,Cosine,10,0
42,WRMF,200,100,,,"[0.1712, 0.0038]","[0.0828, 0.0025]","[0.0792, 0.0021]","[0.0762, 0.0019]","[0.088, 0.0035]","[0.064, 0.0013]","[0.0833, 0.0028]","[0.0887, 0.0037]","[0.1226, 0.0044]","[0.152, 0.0049]","[0.0498, 0.0028]","[0.2808, 0.0063]",100,Cosine,10,0
43,WRMF,200,100,,,"[0.1456, 0.0034]","[0.0838, 0.003]","[0.0797, 0.0026]","[0.077, 0.0023]","[0.0877, 0.0039]","[0.0653, 0.0017]","[0.0765, 0.0025]","[0.0628, 0.0027]","[0.0877, 0.0032]","[0.1107, 0.0036]","[0.0339, 0.002]","[0.2267, 0.0051]",1000,Cosine,10,0
44,WRMF,200,100,,,"[0.1296, 0.0033]","[0.0823, 0.0033]","[0.0787, 0.0028]","[0.0758, 0.0025]","[0.0886, 0.0042]","[0.061, 0.0018]","[0.0699, 0.0025]","[0.0528, 0.0025]","[0.0754, 0.003]","[0.0981, 0.0034]","[0.0292, 0.0018]","[0.1924, 0.0049]",10000,Cosine,10,0
