,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda,similarity,iter,corruption
0,BPR,50,1,,,"[0.166, 0.0036]","[0.087, 0.0028]","[0.0836, 0.0024]","[0.0794, 0.0021]","[0.0912, 0.0037]","[0.068, 0.0015]","[0.0831, 0.0026]","[0.0778, 0.0032]","[0.1093, 0.0038]","[0.1364, 0.0043]","[0.0423, 0.0023]","[0.2646, 0.0057]",0.00001,Cosine,30,0
1,BPR,50,1,,,"[0.162, 0.0035]","[0.0948, 0.0032]","[0.0901, 0.0027]","[0.0859, 0.0025]","[0.0987, 0.0042]","[0.0717, 0.0017]","[0.084, 0.0026]","[0.0715, 0.0029]","[0.1, 0.0035]","[0.1255, 0.0039]","[0.0378, 0.002]","[0.2516, 0.0054]",0.0001,Cosine,30,0
2,BPR,50,1,,,"[0.1284, 0.0033]","[0.0821, 0.0032]","[0.0774, 0.0028]","[0.0743, 0.0025]","[0.0897, 0.0042]","[0.0601, 0.0017]","[0.0695, 0.0024]","[0.0525, 0.0025]","[0.0738, 0.0029]","[0.096, 0.0034]","[0.03, 0.0018]","[0.191, 0.0048]",0.001,Cosine,30,0
3,BPR,50,1,,,"[0.0027, 0.0003]","[0.0015, 0.0003]","[0.0016, 0.0003]","[0.0017, 0.0003]","[0.0014, 0.0004]","[0.002, 0.0002]","[0.0015, 0.0002]","[0.0005, 0.0002]","[0.001, 0.0002]","[0.0014, 0.0003]","[0.0002, 0.0001]","[0.0043, 0.0006]",0.01,Cosine,30,0
4,BPR,50,1,,,"[0.0028, 0.0003]","[0.0015, 0.0003]","[0.0016, 0.0003]","[0.0017, 0.0002]","[0.0013, 0.0004]","[0.002, 0.0002]","[0.0016, 0.0002]","[0.0007, 0.0002]","[0.0011, 0.0003]","[0.0015, 0.0003]","[0.0003, 0.0001]","[0.0046, 0.0006]",0.1,Cosine,30,0
5,BPR,100,1,,,"[0.1712, 0.0036]","[0.0884, 0.0028]","[0.0844, 0.0024]","[0.0815, 0.0021]","[0.0917, 0.0037]","[0.0693, 0.0015]","[0.0857, 0.0026]","[0.0812, 0.0033]","[0.1136, 0.0039]","[0.1433, 0.0044]","[0.0443, 0.0024]","[0.2775, 0.0059]",0.00001,Cosine,30,0
6,BPR,100,1,,,"[0.1638, 0.0035]","[0.0931, 0.0031]","[0.0881, 0.0027]","[0.0846, 0.0024]","[0.1006, 0.0042]","[0.071, 0.0017]","[0.0846, 0.0026]","[0.0729, 0.003]","[0.1001, 0.0035]","[0.1275, 0.004]","[0.0404, 0.0021]","[0.2535, 0.0054]",0.0001,Cosine,30,0
7,BPR,100,1,,,"[0.1283, 0.0033]","[0.0815, 0.0032]","[0.0786, 0.0028]","[0.0751, 0.0025]","[0.0896, 0.0042]","[0.0601, 0.0017]","[0.069, 0.0024]","[0.0526, 0.0025]","[0.0759, 0.003]","[0.0969, 0.0034]","[0.0298, 0.0018]","[0.1896, 0.0048]",0.001,Cosine,30,0
8,BPR,100,1,,,"[0.0034, 0.0004]","[0.0021, 0.0004]","[0.0021, 0.0003]","[0.0022, 0.0003]","[0.0023, 0.0005]","[0.0022, 0.0002]","[0.0019, 0.0002]","[0.001, 0.0003]","[0.0015, 0.0003]","[0.0019, 0.0003]","[0.0005, 0.0002]","[0.0051, 0.0006]",0.01,Cosine,30,0
9,BPR,100,1,,,"[0.0028, 0.0003]","[0.0017, 0.0003]","[0.0018, 0.0003]","[0.0018, 0.0002]","[0.0016, 0.0005]","[0.002, 0.0002]","[0.0015, 0.0002]","[0.0007, 0.0002]","[0.0011, 0.0003]","[0.0016, 0.0004]","[0.0003, 0.0001]","[0.0043, 0.0006]",0.1,Cosine,30,0
