,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,NCE-PLRec,50,1,1,10,Cosine,0,0.7,,"[0.1823, 0.0038]","[0.0919, 0.0028]","[0.0874, 0.0023]","[0.0832, 0.002]","[0.0972, 0.0037]","[0.0699, 0.0014]","[0.0904, 0.0028]","[0.0939, 0.0038]","[0.1278, 0.0044]","[0.1562, 0.0048]","[0.0523, 0.0027]","[0.2947, 0.0063]"
1,NCE-PLRec,50,1,1,10,Cosine,0,0.8,,"[0.1851, 0.0039]","[0.0925, 0.0028]","[0.0887, 0.0023]","[0.0849, 0.0021]","[0.0978, 0.0037]","[0.0707, 0.0014]","[0.0926, 0.0028]","[0.0951, 0.0038]","[0.13, 0.0044]","[0.1615, 0.0049]","[0.0534, 0.0028]","[0.3003, 0.0064]"
2,NCE-PLRec,50,1,1,10,Cosine,0,0.9,,"[0.188, 0.0039]","[0.0934, 0.0028]","[0.0892, 0.0024]","[0.0859, 0.0021]","[0.0999, 0.0038]","[0.0713, 0.0014]","[0.0934, 0.0029]","[0.0966, 0.0039]","[0.1316, 0.0045]","[0.1645, 0.005]","[0.0541, 0.0028]","[0.3053, 0.0065]"
3,NCE-PLRec,50,1,1,10,Cosine,0,1.0,,"[0.1893, 0.004]","[0.093, 0.0028]","[0.0893, 0.0024]","[0.0865, 0.0021]","[0.1002, 0.0038]","[0.0721, 0.0014]","[0.0936, 0.0029]","[0.0957, 0.0039]","[0.132, 0.0046]","[0.165, 0.0051]","[0.0541, 0.0028]","[0.3092, 0.0066]"
4,NCE-PLRec,50,1,1,10,Cosine,0,1.1,,"[0.1892, 0.004]","[0.0923, 0.0028]","[0.0895, 0.0024]","[0.0863, 0.0022]","[0.0993, 0.0039]","[0.0724, 0.0014]","[0.0935, 0.0029]","[0.0955, 0.0039]","[0.1323, 0.0046]","[0.1646, 0.0051]","[0.0535, 0.0028]","[0.3088, 0.0066]"
5,NCE-PLRec,50,1,1,10,Cosine,0,1.2,,"[0.1836, 0.004]","[0.0903, 0.0029]","[0.0866, 0.0024]","[0.0838, 0.0022]","[0.0963, 0.0039]","[0.0717, 0.0015]","[0.0893, 0.0029]","[0.0902, 0.0037]","[0.1246, 0.0044]","[0.1559, 0.0049]","[0.0505, 0.0028]","[0.2985, 0.0065]"
6,NCE-PLRec,50,1,1,10,Cosine,0,1.3,,"[0.1724, 0.0039]","[0.0872, 0.0029]","[0.0836, 0.0025]","[0.0811, 0.0022]","[0.0911, 0.0038]","[0.0695, 0.0015]","[0.0849, 0.0028]","[0.0824, 0.0035]","[0.1134, 0.0041]","[0.1443, 0.0047]","[0.0446, 0.0025]","[0.2788, 0.0063]"
7,NCE-PLRec,50,1,10,10,Cosine,0,0.7,,"[0.1823, 0.0038]","[0.0919, 0.0028]","[0.0874, 0.0023]","[0.0832, 0.002]","[0.0972, 0.0037]","[0.0699, 0.0014]","[0.0904, 0.0028]","[0.0939, 0.0038]","[0.1278, 0.0044]","[0.1562, 0.0048]","[0.0523, 0.0027]","[0.2947, 0.0063]"
8,NCE-PLRec,50,1,10,10,Cosine,0,0.8,,"[0.1851, 0.0039]","[0.0925, 0.0028]","[0.0887, 0.0023]","[0.0849, 0.0021]","[0.0978, 0.0037]","[0.0707, 0.0014]","[0.0926, 0.0028]","[0.0951, 0.0038]","[0.13, 0.0044]","[0.1614, 0.0049]","[0.0534, 0.0028]","[0.3003, 0.0064]"
9,NCE-PLRec,50,1,10,10,Cosine,0,0.9,,"[0.188, 0.0039]","[0.0934, 0.0028]","[0.0892, 0.0024]","[0.0859, 0.0021]","[0.0999, 0.0038]","[0.0713, 0.0014]","[0.0934, 0.0029]","[0.0966, 0.0039]","[0.1316, 0.0045]","[0.1645, 0.005]","[0.0542, 0.0028]","[0.3053, 0.0065]"
