model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
AutoRec,50,1,1e-05,300,Cosine,0,1.0,,"[0.018, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0027, 0.0002]","[0.0018, 0.0001]","[0.0035, 0.0004]","[0.0153, 0.0009]","[0.0217, 0.0011]","[0.027, 0.0012]","[0.0085, 0.0007]","[0.0551, 0.0017]"
AutoRec,50,1,0.0001,300,Cosine,0,1.0,,"[0.0183, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0027, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0155, 0.0009]","[0.0217, 0.0011]","[0.0277, 0.0012]","[0.0087, 0.0007]","[0.0567, 0.0018]"
AutoRec,50,1,0.001,300,Cosine,0,1.0,,"[0.0183, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0028, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0155, 0.0009]","[0.0215, 0.0011]","[0.0275, 0.0012]","[0.0088, 0.0007]","[0.0567, 0.0018]"
AutoRec,50,1,0.01,300,Cosine,0,1.0,,"[0.0154, 0.0006]","[0.0023, 0.0001]","[0.0023, 0.0001]","[0.002, 0.0001]","[0.0027, 0.0002]","[0.0015, 0.0]","[0.0025, 0.0003]","[0.0151, 0.0009]","[0.0215, 0.0011]","[0.0261, 0.0012]","[0.0086, 0.0007]","[0.0462, 0.0016]"
AutoRec,50,1,0.1,300,Cosine,0,1.0,,"[0.0156, 0.0006]","[0.0021, 0.0001]","[0.0019, 0.0001]","[0.0018, 0.0001]","[0.0025, 0.0002]","[0.0016, 0.0]","[0.0028, 0.0004]","[0.0129, 0.0008]","[0.0172, 0.001]","[0.0227, 0.0011]","[0.0079, 0.0007]","[0.0485, 0.0016]"
AutoRec,100,1,1e-05,300,Cosine,0,1.0,,"[0.0179, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0027, 0.0002]","[0.0017, 0.0001]","[0.0033, 0.0004]","[0.0154, 0.0009]","[0.0216, 0.0011]","[0.0276, 0.0012]","[0.0085, 0.0007]","[0.0546, 0.0017]"
AutoRec,100,1,0.0001,300,Cosine,0,1.0,,"[0.0184, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0028, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0153, 0.0009]","[0.0215, 0.0011]","[0.0276, 0.0012]","[0.0088, 0.0007]","[0.0575, 0.0018]"
AutoRec,100,1,0.001,300,Cosine,0,1.0,,"[0.0161, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0015, 0.0]","[0.0025, 0.0003]","[0.0154, 0.0009]","[0.0214, 0.0011]","[0.027, 0.0012]","[0.0083, 0.0007]","[0.0491, 0.0016]"
AutoRec,100,1,0.01,300,Cosine,0,1.0,,"[0.011, 0.0005]","[0.0014, 0.0001]","[0.0013, 0.0001]","[0.0013, 0.0001]","[0.0022, 0.0002]","[0.001, 0.0]","[0.0023, 0.0003]","[0.0087, 0.0007]","[0.0124, 0.0008]","[0.0169, 0.001]","[0.0071, 0.0006]","[0.0317, 0.0013]"
AutoRec,100,1,0.1,300,Cosine,0,1.0,,"[0.0156, 0.0006]","[0.0021, 0.0001]","[0.0019, 0.0001]","[0.0018, 0.0001]","[0.0025, 0.0002]","[0.0016, 0.0]","[0.0028, 0.0004]","[0.0129, 0.0008]","[0.0172, 0.001]","[0.0227, 0.0011]","[0.0079, 0.0007]","[0.0485, 0.0016]"
