model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VAE-CF,100,1,0.001,300,Cosine,0.4,1,,"[0.0209, 0.0007]","[0.0033, 0.0002]","[0.0029, 0.0001]","[0.0026, 0.0001]","[0.004, 0.0002]","[0.0019, 0.0001]","[0.0047, 0.0005]","[0.0207, 0.0011]","[0.027, 0.0012]","[0.0325, 0.0013]","[0.0125, 0.0008]","[0.0594, 0.0018]"
VAE-CF,100,1,0.01,300,Cosine,0.4,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0145, 0.0009]","[0.0203, 0.0011]","[0.0254, 0.0012]","[0.0081, 0.0007]","[0.0537, 0.0017]"
VAE-CF,100,1,0.1,300,Cosine,0.4,1,,"[0.0178, 0.0006]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0024, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0141, 0.0009]","[0.0208, 0.0011]","[0.0272, 0.0012]","[0.0076, 0.0006]","[0.0553, 0.0017]"
VAE-CF,200,1,1E-05,300,Cosine,0.4,1,,"[0.0559, 0.0013]","[0.0089, 0.0003]","[0.0076, 0.0002]","[0.0068, 0.0002]","[0.0116, 0.0004]","[0.0045, 0.0001]","[0.0182, 0.001]","[0.0581, 0.0018]","[0.074, 0.002]","[0.0869, 0.0021]","[0.0387, 0.0015]","[0.1395, 0.0026]"
VAE-CF,200,1,0.0001,300,Cosine,0.4,1,,"[0.0336, 0.0009]","[0.0053, 0.0002]","[0.0049, 0.0002]","[0.0045, 0.0001]","[0.0065, 0.0003]","[0.003, 0.0001]","[0.0086, 0.0006]","[0.0331, 0.0013]","[0.0458, 0.0016]","[0.0553, 0.0017]","[0.0204, 0.0011]","[0.0911, 0.0022]"
VAE-CF,200,1,0.001,300,Cosine,0.4,1,,"[0.0208, 0.0007]","[0.0033, 0.0002]","[0.0029, 0.0001]","[0.0027, 0.0001]","[0.004, 0.0002]","[0.0019, 0.0001]","[0.0047, 0.0005]","[0.0202, 0.001]","[0.0271, 0.0012]","[0.0326, 0.0013]","[0.0124, 0.0008]","[0.0594, 0.0018]"
VAE-CF,200,1,0.01,300,Cosine,0.4,1,,"[0.0175, 0.0006]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0143, 0.0009]","[0.0203, 0.0011]","[0.0269, 0.0012]","[0.0083, 0.0007]","[0.0538, 0.0017]"
VAE-CF,200,1,0.1,300,Cosine,0.4,1,,"[0.0178, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0024, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0151, 0.0009]","[0.0212, 0.0011]","[0.0259, 0.0012]","[0.0079, 0.0007]","[0.0552, 0.0017]"
VAE-CF,50,1,1E-05,300,Cosine,0.5,1,,"[0.044, 0.0011]","[0.007, 0.0002]","[0.0061, 0.0002]","[0.0055, 0.0001]","[0.0086, 0.0003]","[0.0038, 0.0001]","[0.0122, 0.0008]","[0.0445, 0.0015]","[0.0581, 0.0018]","[0.0693, 0.0019]","[0.0282, 0.0012]","[0.1163, 0.0024]"
VAE-CF,50,1,0.0001,300,Cosine,0.5,1,,"[0.0254, 0.0008]","[0.004, 0.0002]","[0.0037, 0.0001]","[0.0033, 0.0001]","[0.0046, 0.0003]","[0.0024, 0.0001]","[0.0051, 0.0005]","[0.0244, 0.0011]","[0.0338, 0.0013]","[0.0407, 0.0015]","[0.0143, 0.0009]","[0.0732, 0.002]"
VAE-CF,50,1,0.001,300,Cosine,0.5,1,,"[0.0179, 0.0006]","[0.0026, 0.0001]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0029, 0.0002]","[0.0018, 0.0001]","[0.0031, 0.0004]","[0.0162, 0.0009]","[0.0224, 0.0011]","[0.0279, 0.0012]","[0.0089, 0.0007]","[0.0552, 0.0017]"
VAE-CF,50,1,0.01,300,Cosine,0.5,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0146, 0.0009]","[0.0203, 0.0011]","[0.0253, 0.0012]","[0.0081, 0.0007]","[0.0538, 0.0017]"
VAE-CF,50,1,0.1,300,Cosine,0.5,1,,"[0.0166, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0027, 0.0002]","[0.0017, 0.0001]","[0.0026, 0.0003]","[0.0145, 0.0009]","[0.0201, 0.001]","[0.0247, 0.0012]","[0.0086, 0.0007]","[0.0517, 0.0016]"
VAE-CF,100,1,1E-05,300,Cosine,0.5,1,,"[0.0484, 0.0011]","[0.0076, 0.0002]","[0.0066, 0.0002]","[0.006, 0.0002]","[0.0095, 0.0004]","[0.0041, 0.0001]","[0.0135, 0.0008]","[0.049, 0.0016]","[0.0636, 0.0018]","[0.0765, 0.002]","[0.0313, 0.0013]","[0.1281, 0.0025]"
VAE-CF,100,1,0.0001,300,Cosine,0.5,1,,"[0.0283, 0.0008]","[0.0046, 0.0002]","[0.0041, 0.0001]","[0.0037, 0.0001]","[0.0055, 0.0003]","[0.0026, 0.0001]","[0.0059, 0.0005]","[0.0286, 0.0012]","[0.0376, 0.0014]","[0.0461, 0.0016]","[0.0173, 0.001]","[0.0801, 0.002]"
VAE-CF,100,1,0.001,300,Cosine,0.5,1,,"[0.0197, 0.0007]","[0.003, 0.0001]","[0.0027, 0.0001]","[0.0025, 0.0001]","[0.0034, 0.0002]","[0.0019, 0.0001]","[0.0045, 0.0005]","[0.0187, 0.001]","[0.0253, 0.0012]","[0.0303, 0.0013]","[0.0106, 0.0008]","[0.0568, 0.0017]"
VAE-CF,100,1,0.01,300,Cosine,0.5,1,,"[0.0176, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.002, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0143, 0.0009]","[0.0203, 0.0011]","[0.0256, 0.0012]","[0.0081, 0.0007]","[0.0538, 0.0017]"
VAE-CF,100,1,0.1,300,Cosine,0.5,1,,"[0.0177, 0.0006]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0024, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.014, 0.0009]","[0.0208, 0.0011]","[0.0272, 0.0012]","[0.0076, 0.0006]","[0.055, 0.0017]"
VAE-CF,200,1,1E-05,300,Cosine,0.5,1,,"[0.0539, 0.0012]","[0.0088, 0.0003]","[0.0074, 0.0002]","[0.0066, 0.0002]","[0.0111, 0.0004]","[0.0044, 0.0001]","[0.0172, 0.0009]","[0.0569, 0.0018]","[0.0714, 0.0019]","[0.0838, 0.0021]","[0.0367, 0.0014]","[0.1349, 0.0026]"
VAE-CF,200,1,0.0001,300,Cosine,0.5,1,,"[0.032, 0.0009]","[0.0053, 0.0002]","[0.0046, 0.0002]","[0.0042, 0.0001]","[0.0062, 0.0003]","[0.0028, 0.0001]","[0.008, 0.0006]","[0.0331, 0.0013]","[0.0432, 0.0015]","[0.0515, 0.0017]","[0.0199, 0.001]","[0.0865, 0.0021]"
VAE-CF,200,1,0.001,300,Cosine,0.5,1,,"[0.0193, 0.0007]","[0.0029, 0.0001]","[0.0026, 0.0001]","[0.0024, 0.0001]","[0.0034, 0.0002]","[0.0018, 0.0001]","[0.0038, 0.0004]","[0.0182, 0.001]","[0.0247, 0.0012]","[0.0299, 0.0013]","[0.0103, 0.0007]","[0.0567, 0.0017]"
VAE-CF,200,1,0.01,300,Cosine,0.5,1,,"[0.0175, 0.0006]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0149, 0.0009]","[0.0203, 0.0011]","[0.0257, 0.0012]","[0.0083, 0.0007]","[0.0538, 0.0017]"
VAE-CF,200,1,0.1,300,Cosine,0.5,1,,"[0.0179, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0024, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0153, 0.0009]","[0.0212, 0.0011]","[0.0261, 0.0012]","[0.0079, 0.0007]","[0.0557, 0.0017]"
