model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCE-PLRec,50,1,1,10,Cosine,0,0.7,,"[0.0461, 0.0011]","[0.0075, 0.0002]","[0.0063, 0.0002]","[0.0057, 0.0001]","[0.0099, 0.0004]","[0.0038, 0.0001]","[0.0149, 0.0009]","[0.047, 0.0016]","[0.0583, 0.0018]","[0.0696, 0.0019]","[0.0315, 0.0013]","[0.1153, 0.0024]"
NCE-PLRec,50,1,1,10,Cosine,0,0.8,,"[0.0464, 0.0011]","[0.0075, 0.0002]","[0.0064, 0.0002]","[0.0057, 0.0001]","[0.0099, 0.0004]","[0.0038, 0.0001]","[0.015, 0.0009]","[0.047, 0.0016]","[0.0595, 0.0018]","[0.0701, 0.0019]","[0.0313, 0.0013]","[0.1161, 0.0024]"
NCE-PLRec,50,1,1,10,Cosine,0,0.9,,"[0.047, 0.0012]","[0.0077, 0.0002]","[0.0065, 0.0002]","[0.0058, 0.0002]","[0.0102, 0.0004]","[0.0039, 0.0001]","[0.0151, 0.0009]","[0.0482, 0.0016]","[0.0607, 0.0018]","[0.0715, 0.0019]","[0.0323, 0.0013]","[0.1178, 0.0024]"
NCE-PLRec,50,1,1,10,Cosine,0,1.0,,"[0.0479, 0.0012]","[0.008, 0.0002]","[0.0067, 0.0002]","[0.006, 0.0002]","[0.0103, 0.0004]","[0.004, 0.0001]","[0.0151, 0.0009]","[0.0498, 0.0016]","[0.0624, 0.0018]","[0.0734, 0.002]","[0.0329, 0.0013]","[0.1197, 0.0024]"
NCE-PLRec,50,1,1,10,Cosine,0,1.1,,"[0.0492, 0.0012]","[0.0083, 0.0002]","[0.0069, 0.0002]","[0.0061, 0.0002]","[0.0105, 0.0004]","[0.0041, 0.0001]","[0.0157, 0.0009]","[0.0514, 0.0017]","[0.0641, 0.0018]","[0.0754, 0.002]","[0.0334, 0.0014]","[0.1232, 0.0025]"
NCE-PLRec,50,1,1,10,Cosine,0,1.2,,"[0.0505, 0.0012]","[0.0085, 0.0003]","[0.0072, 0.0002]","[0.0064, 0.0002]","[0.0108, 0.0004]","[0.0042, 0.0001]","[0.0158, 0.0009]","[0.0531, 0.0017]","[0.0671, 0.0019]","[0.0795, 0.002]","[0.0343, 0.0014]","[0.127, 0.0025]"
NCE-PLRec,50,1,1,10,Cosine,0,1.3,,"[0.0529, 0.0012]","[0.009, 0.0003]","[0.0077, 0.0002]","[0.0068, 0.0002]","[0.0113, 0.0004]","[0.0044, 0.0001]","[0.0162, 0.0009]","[0.0561, 0.0017]","[0.0714, 0.0019]","[0.0838, 0.0021]","[0.0359, 0.0014]","[0.133, 0.0026]"
NCE-PLRec,50,1,10,10,Cosine,0,0.7,,"[0.0461, 0.0011]","[0.0075, 0.0002]","[0.0063, 0.0002]","[0.0057, 0.0001]","[0.0099, 0.0004]","[0.0038, 0.0001]","[0.0149, 0.0009]","[0.047, 0.0016]","[0.0583, 0.0018]","[0.0696, 0.0019]","[0.0315, 0.0013]","[0.1153, 0.0024]"
NCE-PLRec,50,1,10,10,Cosine,0,0.8,,"[0.0464, 0.0011]","[0.0075, 0.0002]","[0.0064, 0.0002]","[0.0057, 0.0001]","[0.0099, 0.0004]","[0.0038, 0.0001]","[0.015, 0.0009]","[0.047, 0.0016]","[0.0595, 0.0018]","[0.0701, 0.0019]","[0.0313, 0.0013]","[0.1161, 0.0024]"
NCE-PLRec,50,1,10,10,Cosine,0,0.9,,"[0.047, 0.0012]","[0.0077, 0.0002]","[0.0065, 0.0002]","[0.0058, 0.0002]","[0.0102, 0.0004]","[0.0039, 0.0001]","[0.0151, 0.0009]","[0.0482, 0.0016]","[0.0607, 0.0018]","[0.0715, 0.0019]","[0.0323, 0.0013]","[0.1178, 0.0024]"
NCE-PLRec,50,1,10,10,Cosine,0,1.0,,"[0.0479, 0.0012]","[0.008, 0.0002]","[0.0067, 0.0002]","[0.006, 0.0002]","[0.0103, 0.0004]","[0.004, 0.0001]","[0.0151, 0.0009]","[0.0498, 0.0016]","[0.0624, 0.0018]","[0.0734, 0.002]","[0.0329, 0.0013]","[0.1197, 0.0024]"
NCE-PLRec,50,1,10,10,Cosine,0,1.1,,"[0.0492, 0.0012]","[0.0083, 0.0002]","[0.0069, 0.0002]","[0.0061, 0.0002]","[0.0105, 0.0004]","[0.0041, 0.0001]","[0.0157, 0.0009]","[0.0514, 0.0017]","[0.0641, 0.0018]","[0.0754, 0.002]","[0.0334, 0.0014]","[0.1232, 0.0025]"
NCE-PLRec,50,1,10,10,Cosine,0,1.2,,"[0.0505, 0.0012]","[0.0085, 0.0003]","[0.0072, 0.0002]","[0.0064, 0.0002]","[0.0108, 0.0004]","[0.0042, 0.0001]","[0.0158, 0.0009]","[0.0531, 0.0017]","[0.0671, 0.0019]","[0.0795, 0.002]","[0.0343, 0.0014]","[0.127, 0.0025]"
NCE-PLRec,50,1,10,10,Cosine,0,1.3,,"[0.0529, 0.0012]","[0.009, 0.0003]","[0.0077, 0.0002]","[0.0068, 0.0002]","[0.0113, 0.0004]","[0.0044, 0.0001]","[0.0162, 0.0009]","[0.0562, 0.0017]","[0.0714, 0.0019]","[0.0839, 0.0021]","[0.0359, 0.0014]","[0.133, 0.0026]"
NCE-PLRec,50,1,100,10,Cosine,0,0.7,,"[0.0461, 0.0011]","[0.0075, 0.0002]","[0.0063, 0.0002]","[0.0057, 0.0001]","[0.0099, 0.0004]","[0.0038, 0.0001]","[0.0149, 0.0009]","[0.047, 0.0016]","[0.0584, 0.0018]","[0.0696, 0.0019]","[0.0315, 0.0013]","[0.1153, 0.0024]"
NCE-PLRec,50,1,100,10,Cosine,0,0.8,,"[0.0464, 0.0011]","[0.0075, 0.0002]","[0.0064, 0.0002]","[0.0057, 0.0001]","[0.0099, 0.0004]","[0.0038, 0.0001]","[0.015, 0.0009]","[0.047, 0.0016]","[0.0596, 0.0018]","[0.0701, 0.0019]","[0.0313, 0.0013]","[0.1161, 0.0024]"
NCE-PLRec,50,1,100,10,Cosine,0,0.9,,"[0.0471, 0.0012]","[0.0077, 0.0002]","[0.0065, 0.0002]","[0.0058, 0.0002]","[0.0102, 0.0004]","[0.0039, 0.0001]","[0.0151, 0.0009]","[0.0482, 0.0016]","[0.0608, 0.0018]","[0.0715, 0.0019]","[0.0323, 0.0013]","[0.1179, 0.0024]"
NCE-PLRec,50,1,100,10,Cosine,0,1.0,,"[0.0479, 0.0012]","[0.008, 0.0002]","[0.0068, 0.0002]","[0.006, 0.0002]","[0.0104, 0.0004]","[0.004, 0.0001]","[0.0151, 0.0009]","[0.0498, 0.0016]","[0.0624, 0.0018]","[0.0734, 0.002]","[0.0329, 0.0013]","[0.1198, 0.0024]"
NCE-PLRec,50,1,100,10,Cosine,0,1.1,,"[0.0492, 0.0012]","[0.0083, 0.0002]","[0.0069, 0.0002]","[0.0061, 0.0002]","[0.0105, 0.0004]","[0.0041, 0.0001]","[0.0157, 0.0009]","[0.0514, 0.0017]","[0.0641, 0.0018]","[0.0755, 0.002]","[0.0334, 0.0014]","[0.1232, 0.0025]"
NCE-PLRec,50,1,100,10,Cosine,0,1.2,,"[0.0505, 0.0012]","[0.0085, 0.0003]","[0.0072, 0.0002]","[0.0065, 0.0002]","[0.0108, 0.0004]","[0.0042, 0.0001]","[0.0158, 0.0009]","[0.0531, 0.0017]","[0.0671, 0.0019]","[0.0795, 0.002]","[0.0343, 0.0014]","[0.127, 0.0025]"
