model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
WRMF,50,1,1,10,Cosine,0,1.0,,"[0.0509, 0.0012]","[0.0085, 0.0003]","[0.0072, 0.0002]","[0.0063, 0.0002]","[0.0111, 0.0004]","[0.0041, 0.0001]","[0.0169, 0.0009]","[0.0539, 0.0017]","[0.0675, 0.0019]","[0.0783, 0.002]","[0.0358, 0.0014]","[0.1243, 0.0025]"
WRMF,50,1,10,10,Cosine,0,1.0,,"[0.0497, 0.0012]","[0.0083, 0.0002]","[0.007, 0.0002]","[0.0061, 0.0002]","[0.0109, 0.0004]","[0.004, 0.0001]","[0.0165, 0.0009]","[0.052, 0.0017]","[0.0652, 0.0019]","[0.0757, 0.002]","[0.0346, 0.0014]","[0.1219, 0.0025]"
WRMF,50,1,100,10,Cosine,0,1.0,,"[0.0108, 0.0005]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0015, 0.0001]","[0.0019, 0.0002]","[0.0012, 0.0]","[0.0012, 0.0002]","[0.0106, 0.0008]","[0.0148, 0.0009]","[0.0183, 0.001]","[0.0053, 0.0005]","[0.0337, 0.0013]"
WRMF,50,1,1000,10,Cosine,0,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
WRMF,50,1,10000,10,Cosine,0,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
WRMF,100,1,1,10,Cosine,0,1.0,,"[0.0546, 0.0013]","[0.0095, 0.0003]","[0.0078, 0.0002]","[0.0068, 0.0002]","[0.0126, 0.0004]","[0.0042, 0.0001]","[0.0191, 0.001]","[0.0605, 0.0018]","[0.0737, 0.002]","[0.0843, 0.0021]","[0.0406, 0.0015]","[0.1285, 0.0025]"
WRMF,100,1,10,10,Cosine,0,1.0,,"[0.0528, 0.0012]","[0.009, 0.0003]","[0.0076, 0.0002]","[0.0066, 0.0002]","[0.0119, 0.0004]","[0.0041, 0.0001]","[0.0183, 0.001]","[0.0572, 0.0018]","[0.0706, 0.0019]","[0.0815, 0.0021]","[0.0383, 0.0014]","[0.1259, 0.0025]"
WRMF,100,1,100,10,Cosine,0,1.0,,"[0.0113, 0.0005]","[0.002, 0.0001]","[0.0016, 0.0001]","[0.0016, 0.0001]","[0.0019, 0.0002]","[0.0012, 0.0]","[0.0013, 0.0002]","[0.0118, 0.0008]","[0.0144, 0.0009]","[0.0186, 0.001]","[0.0059, 0.0006]","[0.0354, 0.0014]"
WRMF,100,1,1000,10,Cosine,0,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
WRMF,100,1,10000,10,Cosine,0,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
