,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
1,VAE-CF,50,1,0.0001,300,Cosine,0.3,1.0,,"[0.3319, 0.0007]","[0.1196, 0.0004]","[0.1058, 0.0003]","[0.0953, 0.0003]","[0.1403, 0.0005]","[0.0623, 0.0002]","[0.1453, 0.0006]","[0.2789, 0.001]","[0.3543, 0.0011]","[0.4121, 0.0011]","[0.1743, 0.0008]","[0.6096, 0.0011]"
2,VAE-CF,50,1,0.001,300,Cosine,0.3,1.0,,"[0.3327, 0.0007]","[0.1215, 0.0004]","[0.1071, 0.0003]","[0.0964, 0.0003]","[0.1426, 0.0005]","[0.0627, 0.0002]","[0.1467, 0.0006]","[0.2799, 0.001]","[0.3543, 0.0011]","[0.4119, 0.0011]","[0.1754, 0.0008]","[0.6073, 0.0011]"
3,VAE-CF,50,1,0.01,300,Cosine,0.3,1.0,,"[0.321, 0.0007]","[0.1207, 0.0004]","[0.1062, 0.0003]","[0.0953, 0.0003]","[0.1423, 0.0005]","[0.0615, 0.0002]","[0.1432, 0.0006]","[0.2649, 0.001]","[0.3374, 0.0011]","[0.3925, 0.0011]","[0.1655, 0.0008]","[0.581, 0.0011]"
4,VAE-CF,50,1,0.1,300,Cosine,0.3,1.0,,"[0.2393, 0.0007]","[0.0917, 0.0004]","[0.0808, 0.0003]","[0.0729, 0.0003]","[0.1079, 0.0005]","[0.0488, 0.0002]","[0.1041, 0.0005]","[0.1852, 0.0008]","[0.237, 0.0009]","[0.2796, 0.001]","[0.114, 0.0007]","[0.4422, 0.0011]"
5,VAE-CF,100,1,1e-05,300,Cosine,0.3,1.0,,"[0.3259, 0.0007]","[0.1126, 0.0004]","[0.1001, 0.0003]","[0.0909, 0.0003]","[0.1303, 0.0005]","[0.0607, 0.0002]","[0.1386, 0.0006]","[0.277, 0.001]","[0.3512, 0.0011]","[0.4094, 0.0011]","[0.1727, 0.0009]","[0.6089, 0.0011]"
6,VAE-CF,100,1,0.0001,300,Cosine,0.3,1.0,,"[0.3318, 0.0007]","[0.1164, 0.0004]","[0.1031, 0.0003]","[0.0932, 0.0003]","[0.1363, 0.0005]","[0.0617, 0.0002]","[0.1443, 0.0006]","[0.2808, 0.001]","[0.356, 0.0011]","[0.4133, 0.0011]","[0.1769, 0.0009]","[0.6126, 0.0011]"
7,VAE-CF,100,1,0.001,300,Cosine,0.3,1.0,,"[0.3364, 0.0007]","[0.1214, 0.0004]","[0.1072, 0.0003]","[0.0965, 0.0003]","[0.1421, 0.0005]","[0.0629, 0.0002]","[0.1487, 0.0006]","[0.2848, 0.001]","[0.36, 0.0011]","[0.4181, 0.0011]","[0.1788, 0.0009]","[0.6128, 0.0011]"
8,VAE-CF,100,1,0.01,300,Cosine,0.3,1.0,,"[0.3235, 0.0007]","[0.1206, 0.0004]","[0.1065, 0.0003]","[0.0959, 0.0003]","[0.1414, 0.0005]","[0.062, 0.0002]","[0.1429, 0.0006]","[0.2683, 0.001]","[0.3432, 0.0011]","[0.4002, 0.0011]","[0.1661, 0.0008]","[0.5887, 0.0011]"
9,VAE-CF,100,1,0.1,300,Cosine,0.3,1.0,,"[0.2369, 0.0007]","[0.091, 0.0004]","[0.0801, 0.0003]","[0.0723, 0.0003]","[0.1066, 0.0005]","[0.0487, 0.0002]","[0.1022, 0.0005]","[0.1837, 0.0008]","[0.2352, 0.0009]","[0.2769, 0.001]","[0.1113, 0.0007]","[0.4412, 0.0011]"
10,VAE-CF,200,1,1e-05,300,Cosine,0.3,1.0,,"[0.3285, 0.0007]","[0.1124, 0.0004]","[0.1002, 0.0003]","[0.091, 0.0003]","[0.1302, 0.0005]","[0.0609, 0.0002]","[0.1396, 0.0006]","[0.2796, 0.001]","[0.3558, 0.0011]","[0.4143, 0.0011]","[0.1749, 0.0009]","[0.614, 0.0011]"
11,VAE-CF,200,1,0.0001,300,Cosine,0.3,1.0,,"[0.3423, 0.0007]","[0.121, 0.0004]","[0.1069, 0.0003]","[0.0965, 0.0003]","[0.1419, 0.0005]","[0.0632, 0.0002]","[0.1514, 0.0007]","[0.2917, 0.001]","[0.3681, 0.0011]","[0.4274, 0.0011]","[0.1845, 0.0009]","[0.6249, 0.0011]"
12,VAE-CF,200,1,0.001,300,Cosine,0.3,1.0,,"[0.3451, 0.0007]","[0.1253, 0.0004]","[0.1104, 0.0003]","[0.0992, 0.0003]","[0.1477, 0.0005]","[0.0642, 0.0002]","[0.1551, 0.0007]","[0.2922, 0.001]","[0.3691, 0.0011]","[0.4277, 0.0011]","[0.1841, 0.0009]","[0.6233, 0.0011]"
13,VAE-CF,200,1,0.01,300,Cosine,0.3,1.0,,"[0.3292, 0.0007]","[0.1224, 0.0004]","[0.108, 0.0003]","[0.0971, 0.0003]","[0.1437, 0.0005]","[0.0627, 0.0002]","[0.1472, 0.0006]","[0.2731, 0.001]","[0.3482, 0.0011]","[0.4053, 0.0011]","[0.169, 0.0008]","[0.5957, 0.0011]"
14,VAE-CF,200,1,0.1,300,Cosine,0.3,1.0,,"[0.2323, 0.0007]","[0.0894, 0.0004]","[0.0786, 0.0003]","[0.0711, 0.0003]","[0.1035, 0.0005]","[0.0482, 0.0002]","[0.0991, 0.0005]","[0.1811, 0.0008]","[0.2306, 0.0009]","[0.272, 0.001]","[0.1069, 0.0006]","[0.4369, 0.0011]"
0,VAE-CF,50,1,1e-05,300,Cosine,0.4,1.0,,"[0.337, 0.0007]","[0.1212, 0.0004]","[0.1069, 0.0003]","[0.0962, 0.0003]","[0.1428, 0.0005]","[0.0628, 0.0002]","[0.1485, 0.0006]","[0.2849, 0.001]","[0.3607, 0.0011]","[0.4188, 0.0011]","[0.179, 0.0009]","[0.6159, 0.0011]"
1,VAE-CF,50,1,0.0001,300,Cosine,0.4,1.0,,"[0.3382, 0.0007]","[0.1233, 0.0004]","[0.1084, 0.0003]","[0.0973, 0.0003]","[0.1456, 0.0005]","[0.0631, 0.0002]","[0.1503, 0.0006]","[0.2856, 0.001]","[0.3608, 0.0011]","[0.4187, 0.0011]","[0.1801, 0.0009]","[0.6148, 0.0011]"
2,VAE-CF,50,1,0.001,300,Cosine,0.4,1.0,,"[0.3384, 0.0007]","[0.1244, 0.0004]","[0.1095, 0.0003]","[0.0983, 0.0003]","[0.1469, 0.0005]","[0.0636, 0.0002]","[0.1521, 0.0006]","[0.2832, 0.001]","[0.3587, 0.0011]","[0.4166, 0.0011]","[0.1786, 0.0008]","[0.6112, 0.0011]"
3,VAE-CF,50,1,0.01,300,Cosine,0.4,1.0,,"[0.323, 0.0007]","[0.1226, 0.0004]","[0.1077, 0.0003]","[0.0967, 0.0003]","[0.1448, 0.0006]","[0.062, 0.0002]","[0.1458, 0.0006]","[0.2659, 0.001]","[0.3384, 0.0011]","[0.3945, 0.0011]","[0.1662, 0.0008]","[0.5812, 0.0011]"
4,VAE-CF,50,1,0.1,300,Cosine,0.4,1.0,,"[0.2368, 0.0007]","[0.0905, 0.0004]","[0.0799, 0.0003]","[0.0722, 0.0003]","[0.1066, 0.0005]","[0.0485, 0.0002]","[0.1028, 0.0005]","[0.1823, 0.0008]","[0.2337, 0.0009]","[0.2765, 0.001]","[0.1123, 0.0007]","[0.439, 0.0011]"
5,VAE-CF,100,1,1e-05,300,Cosine,0.4,1.0,,"[0.3347, 0.0007]","[0.117, 0.0004]","[0.1037, 0.0003]","[0.0938, 0.0003]","[0.1367, 0.0005]","[0.062, 0.0002]","[0.1448, 0.0006]","[0.2842, 0.001]","[0.3607, 0.0011]","[0.4197, 0.0011]","[0.1787, 0.0009]","[0.6198, 0.0011]"
6,VAE-CF,100,1,0.0001,300,Cosine,0.4,1.0,,"[0.3396, 0.0007]","[0.1211, 0.0004]","[0.1071, 0.0003]","[0.0965, 0.0003]","[0.1422, 0.0005]","[0.0631, 0.0002]","[0.1501, 0.0007]","[0.2879, 0.001]","[0.3647, 0.0011]","[0.4233, 0.0011]","[0.181, 0.0009]","[0.6198, 0.0011]"
7,VAE-CF,100,1,0.001,300,Cosine,0.4,1.0,,"[0.3419, 0.0007]","[0.1253, 0.0004]","[0.1103, 0.0003]","[0.0991, 0.0003]","[0.1477, 0.0005]","[0.064, 0.0002]","[0.1539, 0.0007]","[0.2886, 0.001]","[0.3648, 0.0011]","[0.4225, 0.0011]","[0.1821, 0.0009]","[0.6169, 0.0011]"
8,VAE-CF,100,1,0.01,300,Cosine,0.4,1.0,,"[0.3249, 0.0007]","[0.123, 0.0004]","[0.1084, 0.0003]","[0.0973, 0.0003]","[0.1442, 0.0006]","[0.0625, 0.0002]","[0.1445, 0.0006]","[0.2698, 0.001]","[0.3447, 0.0011]","[0.401, 0.0011]","[0.1654, 0.0008]","[0.5884, 0.0011]"
9,VAE-CF,100,1,0.1,300,Cosine,0.4,1.0,,"[0.2344, 0.0007]","[0.09, 0.0004]","[0.0792, 0.0003]","[0.0715, 0.0003]","[0.1053, 0.0005]","[0.0483, 0.0002]","[0.1009, 0.0005]","[0.1813, 0.0008]","[0.2323, 0.0009]","[0.2738, 0.001]","[0.1099, 0.0007]","[0.4378, 0.0011]"
10,VAE-CF,200,1,1e-05,300,Cosine,0.4,1.0,,"[0.3265, 0.0007]","[0.1118, 0.0004]","[0.0997, 0.0003]","[0.0905, 0.0003]","[0.1288, 0.0005]","[0.061, 0.0002]","[0.1367, 0.0006]","[0.2774, 0.001]","[0.353, 0.0011]","[0.4121, 0.0011]","[0.1718, 0.0009]","[0.6142, 0.0011]"
11,VAE-CF,200,1,0.0001,300,Cosine,0.4,1.0,,"[0.3452, 0.0007]","[0.1241, 0.0004]","[0.1095, 0.0003]","[0.0985, 0.0003]","[0.1459, 0.0005]","[0.064, 0.0002]","[0.1541, 0.0007]","[0.293, 0.001]","[0.3711, 0.0011]","[0.4303, 0.0011]","[0.1849, 0.0009]","[0.627, 0.0011]"
12,VAE-CF,200,1,0.001,300,Cosine,0.4,1.0,,"[0.3485, 0.0007]","[0.1286, 0.0004]","[0.113, 0.0003]","[0.1014, 0.0003]","[0.1523, 0.0006]","[0.0651, 0.0002]","[0.1583, 0.0007]","[0.2943, 0.001]","[0.3713, 0.0011]","[0.4298, 0.0011]","[0.1865, 0.0009]","[0.6248, 0.0011]"
13,VAE-CF,200,1,0.01,300,Cosine,0.4,1.0,,"[0.3296, 0.0007]","[0.1242, 0.0004]","[0.1093, 0.0003]","[0.0983, 0.0003]","[0.146, 0.0006]","[0.0631, 0.0002]","[0.1503, 0.0006]","[0.2724, 0.001]","[0.3469, 0.0011]","[0.4039, 0.0011]","[0.1685, 0.0008]","[0.5922, 0.0011]"
14,VAE-CF,200,1,0.1,300,Cosine,0.4,1.0,,"[0.2305, 0.0007]","[0.0888, 0.0004]","[0.078, 0.0003]","[0.0706, 0.0003]","[0.1028, 0.0005]","[0.0479, 0.0002]","[0.0983, 0.0005]","[0.1801, 0.0008]","[0.2284, 0.0009]","[0.2699, 0.001]","[0.1056, 0.0006]","[0.4335, 0.0011]"
0,VAE-CF,50,1,1e-05,300,Cosine,0.5,1.0,,"[0.3397, 0.0007]","[0.1248, 0.0004]","[0.1097, 0.0003]","[0.0984, 0.0003]","[0.1478, 0.0006]","[0.0635, 0.0002]","[0.1528, 0.0007]","[0.2856, 0.001]","[0.3599, 0.0011]","[0.4171, 0.0011]","[0.1803, 0.0009]","[0.6142, 0.0011]"
1,VAE-CF,50,1,0.0001,300,Cosine,0.5,1.0,,"[0.338, 0.0007]","[0.125, 0.0004]","[0.11, 0.0003]","[0.0987, 0.0003]","[0.1472, 0.0006]","[0.0637, 0.0002]","[0.1507, 0.0006]","[0.2829, 0.001]","[0.3587, 0.0011]","[0.4173, 0.0011]","[0.1761, 0.0008]","[0.6142, 0.0011]"
2,VAE-CF,50,1,0.001,300,Cosine,0.5,1.0,,"[0.3413, 0.0007]","[0.127, 0.0004]","[0.1115, 0.0003]","[0.1001, 0.0003]","[0.1503, 0.0006]","[0.0643, 0.0002]","[0.155, 0.0007]","[0.2855, 0.001]","[0.3607, 0.0011]","[0.4187, 0.0011]","[0.1802, 0.0008]","[0.6131, 0.0011]"
3,VAE-CF,50,1,0.01,300,Cosine,0.5,1.0,,"[0.3199, 0.0007]","[0.1224, 0.0004]","[0.1079, 0.0003]","[0.0969, 0.0003]","[0.1442, 0.0006]","[0.0622, 0.0002]","[0.1442, 0.0006]","[0.2605, 0.001]","[0.3343, 0.001]","[0.3903, 0.0011]","[0.161, 0.0008]","[0.5781, 0.0011]"
