,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
1,WRMF,100,100,10,10,Cosine,0,1.0,,"[0.2495, 0.0007]","[0.092, 0.0003]","[0.0813, 0.0003]","[0.0736, 0.0003]","[0.1076, 0.0005]","[0.0493, 0.0002]","[0.1076, 0.0005]","[0.2006, 0.0009]","[0.2569, 0.001]","[0.3011, 0.001]","[0.1229, 0.0007]","[0.4633, 0.0011]"
2,WRMF,100,100,100,10,Cosine,0,1.0,,"[0.2864, 0.0007]","[0.1042, 0.0004]","[0.0919, 0.0003]","[0.0829, 0.0003]","[0.1221, 0.0005]","[0.0546, 0.0002]","[0.1241, 0.0006]","[0.2381, 0.001]","[0.3028, 0.001]","[0.3533, 0.0011]","[0.1471, 0.0008]","[0.5277, 0.0011]"
3,WRMF,100,100,1000,10,Cosine,0,1.0,,"[0.3534, 0.0007]","[0.1315, 0.0004]","[0.1155, 0.0003]","[0.1036, 0.0003]","[0.1553, 0.0006]","[0.0666, 0.0002]","[0.1588, 0.0007]","[0.2997, 0.001]","[0.378, 0.0011]","[0.4374, 0.0011]","[0.188, 0.0009]","[0.6367, 0.0011]"
4,WRMF,100,100,10000,10,Cosine,0,1.0,,"[0.2219, 0.0006]","[0.076, 0.0003]","[0.0691, 0.0003]","[0.0627, 0.0002]","[0.0867, 0.0004]","[0.0444, 0.0002]","[0.0886, 0.0005]","[0.1679, 0.0008]","[0.2243, 0.0009]","[0.2639, 0.001]","[0.1001, 0.0007]","[0.4375, 0.0011]"
0,WRMF,50,1000,1,10,Cosine,0,1.0,,"[0.1616, 0.0005]","[0.0558, 0.0003]","[0.0511, 0.0002]","[0.0476, 0.0002]","[0.0632, 0.0004]","[0.036, 0.0001]","[0.0612, 0.0004]","[0.1088, 0.0006]","[0.1472, 0.0007]","[0.1806, 0.0008]","[0.0633, 0.0005]","[0.3245, 0.001]"
1,WRMF,50,1000,10,10,Cosine,0,1.0,,"[0.1598, 0.0005]","[0.0565, 0.0003]","[0.0517, 0.0002]","[0.0481, 0.0002]","[0.0642, 0.0004]","[0.0361, 0.0001]","[0.0618, 0.0004]","[0.107, 0.0006]","[0.1444, 0.0007]","[0.1769, 0.0008]","[0.0622, 0.0005]","[0.3168, 0.001]"
2,WRMF,50,1000,100,10,Cosine,0,1.0,,"[0.2143, 0.0006]","[0.0727, 0.0003]","[0.0659, 0.0002]","[0.0608, 0.0002]","[0.0828, 0.0004]","[0.0438, 0.0001]","[0.083, 0.0005]","[0.1605, 0.0008]","[0.2117, 0.0009]","[0.2548, 0.001]","[0.0949, 0.0006]","[0.4236, 0.0011]"
3,WRMF,50,1000,1000,10,Cosine,0,1.0,,"[0.2624, 0.0007]","[0.0871, 0.0003]","[0.078, 0.0003]","[0.0711, 0.0002]","[0.1005, 0.0005]","[0.0494, 0.0001]","[0.1032, 0.0006]","[0.2144, 0.0009]","[0.277, 0.001]","[0.3266, 0.0011]","[0.1302, 0.0008]","[0.5133, 0.0011]"
4,WRMF,50,1000,10000,10,Cosine,0,1.0,,"[0.3239, 0.0007]","[0.1122, 0.0004]","[0.0996, 0.0003]","[0.0904, 0.0003]","[0.1316, 0.0005]","[0.0605, 0.0002]","[0.1394, 0.0006]","[0.2695, 0.001]","[0.3435, 0.0011]","[0.4015, 0.0011]","[0.169, 0.0008]","[0.602, 0.0011]"
0,WRMF,100,1000,1,10,Cosine,0,1.0,,"[0.0972, 0.0004]","[0.0349, 0.0002]","[0.0324, 0.0002]","[0.0306, 0.0002]","[0.0387, 0.0003]","[0.0243, 0.0001]","[0.0358, 0.0003]","[0.0585, 0.0005]","[0.0809, 0.0005]","[0.1014, 0.0006]","[0.0329, 0.0003]","[0.1979, 0.0008]"
