,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
55,WRMF,50,10000,1,10,Cosine,0,1,,"[0.0831, 0.0007]","[0.0266, 0.0003]","[0.0278, 0.0003]","[0.0278, 0.0002]","[0.0231, 0.0004]","[0.0251, 0.0002]","[0.0243, 0.0004]","[0.0461, 0.0007]","[0.0704, 0.0009]","[0.0906, 0.001]","[0.0206, 0.0004]","[0.1737, 0.0014]"
56,WRMF,50,10000,10,10,Cosine,0,1,,"[0.0825, 0.0007]","[0.0244, 0.0003]","[0.0249, 0.0003]","[0.0254, 0.0002]","[0.024, 0.0004]","[0.0246, 0.0002]","[0.0256, 0.0004]","[0.0436, 0.0007]","[0.0633, 0.0008]","[0.0824, 0.001]","[0.0229, 0.0005]","[0.1707, 0.0014]"
57,WRMF,50,10000,100,10,Cosine,0,1,,"[0.0788, 0.0006]","[0.0226, 0.0003]","[0.0227, 0.0002]","[0.0233, 0.0002]","[0.0228, 0.0004]","[0.025, 0.0002]","[0.022, 0.0003]","[0.0363, 0.0006]","[0.053, 0.0007]","[0.0715, 0.0009]","[0.0189, 0.0004]","[0.175, 0.0014]"
58,WRMF,50,10000,1000,10,Cosine,0,1,,"[0.0767, 0.0006]","[0.0203, 0.0003]","[0.0222, 0.0002]","[0.0232, 0.0002]","[0.0179, 0.0003]","[0.0244, 0.0002]","[0.0186, 0.0003]","[0.0321, 0.0006]","[0.0538, 0.0008]","[0.0753, 0.001]","[0.0136, 0.0004]","[0.1724, 0.0015]"
59,WRMF,50,10000,10000,10,Cosine,0,1,,"[0.116, 0.0007]","[0.037, 0.0004]","[0.0378, 0.0003]","[0.0387, 0.0003]","[0.0369, 0.0005]","[0.0382, 0.0002]","[0.0367, 0.0004]","[0.0517, 0.0007]","[0.0785, 0.0009]","[0.1071, 0.0011]","[0.0258, 0.0005]","[0.2401, 0.0016]"
60,WRMF,100,10000,1,10,Cosine,0,1,,"[0.0702, 0.0005]","[0.0275, 0.0003]","[0.0267, 0.0002]","[0.0261, 0.0002]","[0.0291, 0.0004]","[0.024, 0.0001]","[0.0282, 0.0003]","[0.0349, 0.0005]","[0.0491, 0.0006]","[0.0626, 0.0007]","[0.0191, 0.0004]","[0.1304, 0.001]"
61,WRMF,100,10000,10,10,Cosine,0,1,,"[0.0707, 0.0005]","[0.0278, 0.0003]","[0.0274, 0.0003]","[0.027, 0.0002]","[0.0282, 0.0004]","[0.0252, 0.0002]","[0.0283, 0.0003]","[0.0343, 0.0005]","[0.0491, 0.0006]","[0.0627, 0.0007]","[0.018, 0.0003]","[0.1308, 0.001]"
62,WRMF,100,10000,100,10,Cosine,0,1,,"[0.0914, 0.0007]","[0.0351, 0.0004]","[0.0339, 0.0003]","[0.0325, 0.0003]","[0.0362, 0.0005]","[0.0289, 0.0002]","[0.038, 0.0005]","[0.0513, 0.0007]","[0.0714, 0.0008]","[0.0882, 0.0009]","[0.028, 0.0005]","[0.1681, 0.0012]"
63,WRMF,100,10000,1000,10,Cosine,0,1,,"[0.0963, 0.0007]","[0.0304, 0.0003]","[0.031, 0.0003]","[0.0312, 0.0002]","[0.0307, 0.0004]","[0.0319, 0.0002]","[0.0321, 0.0004]","[0.0442, 0.0006]","[0.0659, 0.0008]","[0.0861, 0.0009]","[0.0236, 0.0005]","[0.1961, 0.0014]"
64,WRMF,100,10000,10000,10,Cosine,0,1,,"[0.1305, 0.0008]","[0.0456, 0.0004]","[0.0448, 0.0004]","[0.0451, 0.0003]","[0.0483, 0.0006]","[0.0437, 0.0002]","[0.0444, 0.0005]","[0.0569, 0.0007]","[0.0841, 0.0009]","[0.114, 0.0011]","[0.0302, 0.0005]","[0.263, 0.0016]"
65,WRMF,100,10000,1,10,Cosine,0,1,,"[0.0702, 0.0005]","[0.0275, 0.0003]","[0.0267, 0.0002]","[0.0261, 0.0002]","[0.0291, 0.0004]","[0.024, 0.0001]","[0.0282, 0.0003]","[0.0349, 0.0005]","[0.0491, 0.0006]","[0.0626, 0.0007]","[0.0191, 0.0004]","[0.1304, 0.001]"
66,WRMF,100,10000,10,10,Cosine,0,1,,"[0.0707, 0.0005]","[0.0278, 0.0003]","[0.0274, 0.0003]","[0.027, 0.0002]","[0.0281, 0.0004]","[0.0252, 0.0002]","[0.0283, 0.0003]","[0.0343, 0.0005]","[0.0491, 0.0006]","[0.0627, 0.0007]","[0.018, 0.0003]","[0.1308, 0.001]"
67,WRMF,100,10000,100,10,Cosine,0,1,,"[0.0914, 0.0007]","[0.0351, 0.0004]","[0.0339, 0.0003]","[0.0325, 0.0003]","[0.0362, 0.0005]","[0.0289, 0.0002]","[0.038, 0.0005]","[0.0513, 0.0007]","[0.0714, 0.0008]","[0.0882, 0.0009]","[0.028, 0.0005]","[0.1682, 0.0012]"
68,WRMF,100,10000,1000,10,Cosine,0,1,,"[0.0963, 0.0007]","[0.0304, 0.0003]","[0.031, 0.0003]","[0.0312, 0.0002]","[0.0307, 0.0004]","[0.0319, 0.0002]","[0.0321, 0.0004]","[0.0442, 0.0006]","[0.0659, 0.0008]","[0.0861, 0.0009]","[0.0236, 0.0005]","[0.1961, 0.0014]"
69,WRMF,100,10000,10000,10,Cosine,0,1,,"[0.1305, 0.0008]","[0.0456, 0.0004]","[0.0448, 0.0004]","[0.0451, 0.0003]","[0.0483, 0.0006]","[0.0437, 0.0002]","[0.0444, 0.0005]","[0.0569, 0.0007]","[0.0841, 0.0009]","[0.114, 0.0011]","[0.0302, 0.0005]","[0.263, 0.0016]"
