model,rank,alpha,lambda,iter,similarity,corruption,root,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,Unnamed: 0,metric
PLRec,50,1,1,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1495, 0.0005]","[0.1428, 0.0005]","[0.1374, 0.0004]","[0.1591, 0.0007]","[0.118, 0.0003]","[0.1645, 0.0004]","[0.135, 0.0004]","[0.1258, 0.0004]","[0.1188, 0.0003]","[0.149, 0.0006]","[0.0953, 0.0003]","[0.0994, 0.0003]","[0.0758, 0.0004]","[0.1016, 0.0004]","[0.1239, 0.0005]","[0.0445, 0.0003]","[0.2189, 0.0006]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
BPR,50,1,0.00001,30,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1149, 0.0005]","[0.1111, 0.0004]","[0.108, 0.0004]","[0.1197, 0.0006]","[0.096, 0.0003]","[0.1312, 0.0003]","[0.1072, 0.0004]","[0.1014, 0.0003]","[0.0971, 0.0003]","[0.115, 0.0005]","[0.0816, 0.0002]","[0.0757, 0.0002]","[0.0536, 0.0003]","[0.0755, 0.0003]","[0.0957, 0.0004]","[0.0291, 0.0002]","[0.1859, 0.0006]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-SVD,50,1,1,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1455, 0.0006]","[0.1383, 0.0005]","[0.1328, 0.0005]","[0.1559, 0.0007]","[0.1129, 0.0003]","[0.158, 0.0004]","[0.1299, 0.0004]","[0.1205, 0.0004]","[0.1136, 0.0003]","[0.1446, 0.0006]","[0.0897, 0.0002]","[0.0917, 0.0003]","[0.0729, 0.0004]","[0.0987, 0.0004]","[0.1212, 0.0005]","[0.0422, 0.0003]","[0.216, 0.0006]",,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-PLRec,100,1,1,10,Cosine,0,1.1,"[5, 10, 15, 20, 50]","[0.1562, 0.0006]","[0.1497, 0.0005]","[0.1444, 0.0005]","[0.1654, 0.0007]","[0.1247, 0.0003]","[0.1764, 0.0004]","[0.1423, 0.0005]","[0.133, 0.0004]","[0.1259, 0.0004]","[0.1552, 0.0006]","[0.1015, 0.0003]","[0.1049, 0.0003]","[0.0826, 0.0004]","[0.1109, 0.0005]","[0.1351, 0.0005]","[0.0477, 0.0003]","[0.2392, 0.0007]",39,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CML,50,1,0.00001,30,Euclidean,0,1,"[5, 10, 15, 20, 50]","[0.1333, 0.0005]","[0.1284, 0.0005]","[0.1244, 0.0004]","[0.1398, 0.0006]","[0.1091, 0.0003]","[0.1511, 0.0004]","[0.123, 0.0004]","[0.1158, 0.0004]","[0.1103, 0.0003]","[0.1332, 0.0005]","[0.0906, 0.0003]","[0.0878, 0.0003]","[0.0656, 0.0003]","[0.0904, 0.0004]","[0.1126, 0.0005]","[0.0365, 0.0002]","[0.2117, 0.0006]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
PureSVD,50,1,1,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1495, 0.0005]","[0.1427, 0.0005]","[0.1374, 0.0004]","[0.159, 0.0007]","[0.118, 0.0003]","[0.1644, 0.0004]","[0.135, 0.0004]","[0.1258, 0.0004]","[0.1188, 0.0003]","[0.149, 0.0005]","[0.0953, 0.0003]","[0.0994, 0.0003]","[0.0757, 0.0004]","[0.1016, 0.0004]","[0.1238, 0.0005]","[0.0445, 0.0003]","[0.2188, 0.0006]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CDAE,50,1,0.00001,300,Cosine,0.2,1,"[5, 10, 15, 20, 50]","[0.1189, 0.0005]","[0.1143, 0.0004]","[0.1107, 0.0004]","[0.1251, 0.0006]","[0.0979, 0.0003]","[0.1316, 0.0004]","[0.1091, 0.0004]","[0.1026, 0.0004]","[0.098, 0.0003]","[0.1198, 0.0005]","[0.0832, 0.0002]","[0.0797, 0.0003]","[0.0544, 0.0003]","[0.0745, 0.0004]","[0.0915, 0.0004]","[0.0323, 0.0002]","[0.1788, 0.0006]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
WRMF,200,10,1000,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1452, 0.0005]","[0.1393, 0.0005]","[0.1347, 0.0004]","[0.1531, 0.0007]","[0.117, 0.0003]","[0.1681, 0.0004]","[0.1328, 0.0004]","[0.1245, 0.0004]","[0.1182, 0.0003]","[0.1447, 0.0006]","[0.096, 0.0003]","[0.0985, 0.0003]","[0.0781, 0.0004]","[0.1056, 0.0005]","[0.1294, 0.0005]","[0.045, 0.0003]","[0.2325, 0.0007]",,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
VAE-CF,100,1,0.0001,300,Cosine,0.5,1,"[5, 10, 15, 20, 50]","[0.1472, 0.0005]","[0.141, 0.0005]","[0.1361, 0.0004]","[0.1559, 0.0007]","[0.1176, 0.0003]","[0.1705, 0.0004]","[0.134, 0.0004]","[0.1254, 0.0004]","[0.1188, 0.0003]","[0.1465, 0.0005]","[0.0957, 0.0003]","[0.1017, 0.0003]","[0.0796, 0.0004]","[0.1068, 0.0005]","[0.1303, 0.0005]","[0.0467, 0.0003]","[0.2309, 0.0006]",6,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
AutoRec,50,1,0.00001,300,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1324, 0.0005]","[0.1269, 0.0005]","[0.1227, 0.0004]","[0.14, 0.0006]","[0.1074, 0.0003]","[0.1454, 0.0004]","[0.1207, 0.0004]","[0.1132, 0.0004]","[0.1078, 0.0003]","[0.1324, 0.0005]","[0.0894, 0.0003]","[0.0876, 0.0003]","[0.0615, 0.0003]","[0.0838, 0.0004]","[0.1034, 0.0004]","[0.0361, 0.0002]","[0.1958, 0.0006]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
