domain,root,NDCG
Netflix,0.9,"[0.1657, 0.0004]"
Netflix,1,"[0.1693, 0.0004]"
Netflix,1.1,"[0.1689, 0.0004]"
Netflix,1.2,"[0.1571, 0.0004]"
Netflix,1.3,"[0.1367, 0.0004]"
Netflix,0.7,"[0.1554, 0.0004]"
Netflix,0.8,"[0.1586, 0.0004]"
Netflix,0.9,"[0.1633, 0.0004]"
Netflix,1,"[0.1689, 0.0004]"
Netflix,1.1,"[0.1744, 0.0004]"
Netflix,1.2,"[0.1641, 0.0004]"
Netflix,1.3,"[0.1391, 0.0004]"
Netflix,0.7,"[0.1554, 0.0004]"
Netflix,0.8,"[0.1586, 0.0004]"
Netflix,0.9,"[0.1633, 0.0004]"
Netflix,1,"[0.1689, 0.0004]"
Netflix,1.1,"[0.1744, 0.0004]"
Netflix,1.2,"[0.1641, 0.0004]"
Netflix,1.3,"[0.1391, 0.0004]"
Netflix,0.7,"[0.1554, 0.0004]"
Netflix,0.8,"[0.1586, 0.0004]"
Netflix,0.9,"[0.1633, 0.0004]"
Netflix,1,"[0.1689, 0.0004]"
Netflix,1.1,"[0.1744, 0.0004]"
Netflix,1.2,"[0.1641, 0.0004]"
Netflix,1.3,"[0.1391, 0.0004]"
Netflix,0.7,"[0.1554, 0.0004]"
Netflix,0.8,"[0.1586, 0.0004]"
Netflix,0.9,"[0.1633, 0.0004]"
Netflix,1,"[0.1689, 0.0004]"
Netflix,1.1,"[0.1744, 0.0004]"
Netflix,1.2,"[0.1641, 0.0004]"
Netflix,1.3,"[0.1391, 0.0004]"
Netflix,0.7,"[0.1554, 0.0004]"
Netflix,0.8,"[0.1586, 0.0004]"
Netflix,0.9,"[0.1634, 0.0004]"
Netflix,1,"[0.1689, 0.0004]"
Netflix,1.1,"[0.1744, 0.0004]"
Netflix,1.2,"[0.1641, 0.0004]"
Netflix,1.3,"[0.1391, 0.0004]"
Netflix,0.7,"[0.1342, 0.0004]"
Netflix,0.8,"[0.1395, 0.0004]"
Netflix,0.9,"[0.1499, 0.0004]"
Netflix,1,"[0.1616, 0.0004]"
Netflix,1.1,"[0.1713, 0.0004]"
Netflix,1.2,"[0.167, 0.0004]"
Netflix,1.3,"[0.1423, 0.0004]"
Netflix,0.7,"[0.1342, 0.0004]"
