model,rank,alpha,lambda,iter,similarity,corruption,root,domain
PLRec,50,1,10000,10,Cosine,0,1,Movielens20m
BPR,50,1,0.00001,30,Cosine,0,1,Movielens20m
NCE-SVD,50,1,1,10,Cosine,0,1,Movielens20m
NCE-PLRec,50,1,1,10,Cosine,0,1,Movielens20m
CML,100,1,0.01,30,Euclidean,0,1,Movielens20m
PureSVD,50,1,1,10,Cosine,0,1,Movielens20m
CDAE,50,1,0.00001,300,Cosine,0.2,1,Movielens20m
WRMF,200,1,100,10,Cosine,0,1,Movielens20m
VAE-CF,200,1,0.001,300,Cosine,0.5,1,Movielens20m
AutoRec,50,1,0.00001,300,Cosine,0,1,Movielens20m
PLRec,50,1,1,10,Cosine,0,1,Netflix
BPR,50,1,0.00001,30,Cosine,0,1,Netflix
NCE-SVD,50,1,1,10,Cosine,0,1,Netflix
NCE-PLRec,100,1,1,10,Cosine,0,1.1,Netflix
CML,50,1,0.00001,30,Euclidean,0,1,Netflix
PureSVD,50,1,1,10,Cosine,0,1,Netflix
CDAE,50,1,0.00001,300,Cosine,0.2,1,Netflix
WRMF,200,10,1000,10,Cosine,0,1,Netflix
VAE-CF,100,1,0.0001,300,Cosine,0.5,1,Netflix
AutoRec,50,1,0.00001,300,Cosine,0,1,Netflix
PLRec,50,1,10000,10,Cosine,0,1,Yahoo
BPR,50,1,0.00001,30,Cosine,0,1,Yahoo
NCE-SVD,50,1,1,10,Cosine,0,1,Yahoo
NCE-PLRec,50,1,1000,10,Cosine,0,1.2,Yahoo
CML,100,1,0.0001,30,Euclidean,0,1,Yahoo
PureSVD,50,1,1,10,Cosine,0,1,Yahoo
CDAE,50,1,0.1,300,Cosine,0.2,1,Yahoo
WRMF,100,100,1000,10,Cosine,0,1,Yahoo
VAE-CF,200,1,0.001,300,Cosine,0.5,1,Yahoo
AutoRec,50,1,0.00001,300,Cosine,0,1,Yahoo
